ColorWord,FontColor,Block,Instruction,CorAns,StimType
green,blue,2,atypical,j,6
yellow,blue,2,atypical,k,7
green,yellow,2,atypical,j,14
blue,red,2,atypical,f,1
blue,yellow,2,atypical,f,13
red,blue,2,atypical,d,4
green,red,2,atypical,j,2
yellow,yellow,2,atypical,k,15
green,green,2,atypical,j,10
blue,green,2,atypical,f,9
yellow,green,2,atypical,k,11
red,red,2,atypical,d,0
yellow,red,2,atypical,k,3
green,blue,2,atypical,j,6
red,green,2,atypical,d,8
blue,blue,2,atypical,f,5
green,red,2,atypical,j,2
red,blue,2,atypical,d,4
yellow,blue,2,atypical,k,7
red,yellow,2,atypical,d,12
blue,yellow,2,atypical,f,13
green,red,2,atypical,j,2
yellow,green,2,atypical,k,11
blue,red,2,atypical,f,1
blue,blue,2,atypical,f,5
blue,green,2,atypical,f,9
yellow,green,2,atypical,k,11
green,blue,2,atypical,j,6
blue,green,2,atypical,f,9
green,green,2,atypical,j,10
blue,yellow,2,atypical,f,13
yellow,blue,3,typical,f,7
red,red,3,typical,d,0
blue,blue,3,typical,f,5
green,blue,3,typical,f,6
green,red,3,typical,d,2
yellow,blue,3,typical,f,7
green,yellow,3,typical,k,14
yellow,green,3,typical,j,11
yellow,red,3,typical,d,3
green,green,3,typical,j,10
red,red,3,typical,d,0
green,yellow,3,typical,k,14
green,red,3,typical,d,2
yellow,yellow,3,typical,k,15
red,red,3,typical,d,0
green,green,3,typical,j,10
yellow,blue,3,typical,f,7
yellow,red,3,typical,d,3
yellow,green,3,typical,j,11
blue,green,3,typical,j,9
red,green,3,typical,j,8
blue,green,3,typical,j,9
yellow,yellow,3,typical,k,15
blue,green,3,typical,j,9
blue,blue,3,typical,f,5
red,green,3,typical,j,8
red,blue,3,typical,f,4
red,green,3,typical,j,8
red,yellow,3,typical,k,12
yellow,blue,3,typical,f,7
yellow,yellow,3,typical,k,15
green,blue,3,typical,f,6
blue,red,3,typical,d,1
blue,blue,3,typical,f,5
green,blue,3,typical,f,6
red,yellow,3,typical,k,12
green,red,3,typical,d,2
yellow,green,3,typical,j,11
green,red,3,typical,d,2
red,green,3,typical,j,8
yellow,green,3,typical,j,11
green,yellow,3,typical,k,14
blue,red,3,typical,d,1
green,blue,3,typical,f,6
red,yellow,3,typical,k,12
red,blue,3,typical,f,4
yellow,yellow,3,typical,k,15
blue,yellow,3,typical,k,13
green,green,3,typical,j,10
red,red,3,typical,d,0
yellow,yellow,3,typical,k,15
red,yellow,3,typical,k,12
blue,yellow,3,typical,k,13
green,red,3,typical,d,2
yellow,red,3,typical,d,3
blue,blue,3,typical,f,5
green,blue,3,typical,f,6
red,green,3,typical,j,8
blue,green,3,typical,j,9
green,yellow,3,typical,k,14
green,green,3,typical,j,10
red,yellow,3,typical,k,12
red,blue,3,typical,f,4
blue,yellow,3,typical,k,13
red,red,3,typical,d,0
yellow,red,3,typical,d,3
blue,red,3,typical,d,1
yellow,red,3,typical,d,3
yellow,blue,3,typical,f,7
red,blue,3,typical,f,4
yellow,green,3,typical,j,11
green,yellow,3,typical,k,14
blue,yellow,3,typical,k,13
blue,red,3,typical,d,1
blue,green,3,typical,j,9
red,blue,3,typical,f,4
blue,yellow,3,typical,k,13
blue,blue,3,typical,f,5
blue,red,3,typical,d,1
green,green,3,typical,j,10
blue,green,4,atypical,f,9
red,red,4,atypical,d,0
yellow,red,4,atypical,k,3
blue,green,4,atypical,f,9
green,yellow,4,atypical,j,14
red,blue,4,atypical,d,4
green,yellow,4,atypical,j,14
blue,green,4,atypical,f,9
blue,blue,4,atypical,f,5
yellow,green,4,atypical,k,11
blue,blue,4,atypical,f,5
yellow,yellow,4,atypical,k,15
blue,red,4,atypical,f,1
yellow,blue,4,atypical,k,7
green,yellow,4,atypical,j,14
green,green,4,atypical,j,10
yellow,green,4,atypical,k,11
green,green,4,atypical,j,10
red,yellow,4,atypical,d,12
red,blue,4,atypical,d,4
yellow,blue,4,atypical,k,7
red,red,4,atypical,d,0
yellow,yellow,4,atypical,k,15
yellow,blue,4,atypical,k,7
yellow,yellow,4,atypical,k,15
red,green,4,atypical,d,8
yellow,red,4,atypical,k,3
red,yellow,4,atypical,d,12
green,blue,4,atypical,j,6
blue,red,4,atypical,f,1
red,green,4,atypical,d,8
red,yellow,4,atypical,d,12
blue,yellow,4,atypical,f,13
yellow,red,4,atypical,k,3
blue,red,4,atypical,f,1
yellow,yellow,4,atypical,k,15
red,yellow,4,atypical,d,12
red,green,4,atypical,d,8
yellow,red,4,atypical,k,3
green,yellow,4,atypical,j,14
green,red,4,atypical,j,2
blue,yellow,4,atypical,f,13
blue,red,4,atypical,f,1
green,red,4,atypical,j,2
yellow,green,4,atypical,k,11
green,green,4,atypical,j,10
blue,green,4,atypical,f,9
yellow,blue,4,atypical,k,7
red,red,4,atypical,d,0
red,blue,4,atypical,d,4
yellow,blue,4,atypical,k,7
yellow,red,4,atypical,k,3
green,red,4,atypical,j,2
blue,green,4,atypical,f,9
blue,blue,4,atypical,f,5
red,green,4,atypical,d,8
yellow,yellow,4,atypical,k,15
blue,yellow,4,atypical,f,13
green,yellow,4,atypical,j,14
red,green,4,atypical,d,8
blue,yellow,4,atypical,f,13
red,red,4,atypical,d,0
green,red,4,atypical,j,2
green,green,4,atypical,j,10
blue,red,4,atypical,f,1
green,blue,4,atypical,j,6
green,red,4,atypical,j,2
red,blue,4,atypical,d,4
red,yellow,4,atypical,d,12
blue,blue,4,atypical,f,5
blue,yellow,4,atypical,f,13
green,blue,4,atypical,j,6
yellow,green,4,atypical,k,11
blue,blue,4,atypical,f,5
green,blue,4,atypical,j,6
red,red,4,atypical,d,0
yellow,green,4,atypical,k,11
green,blue,4,atypical,j,6
green,green,4,atypical,j,10
red,blue,4,atypical,d,4
blue,yellow,5,typical,k,13
yellow,red,5,typical,d,3
red,blue,5,typical,f,4
blue,yellow,5,typical,k,13
red,red,5,typical,d,0
yellow,red,5,typical,d,3
yellow,yellow,5,typical,k,15
blue,yellow,5,typical,k,13
blue,blue,5,typical,f,5
blue,green,5,typical,j,9
yellow,yellow,5,typical,k,15
yellow,red,5,typical,d,3
red,green,5,typical,j,8
yellow,blue,5,typical,f,7
green,green,5,typical,j,10
yellow,blue,5,typical,f,7
red,green,5,typical,j,8
green,blue,5,typical,f,6
green,red,5,typical,d,2
green,yellow,5,typical,k,14
green,blue,5,typical,f,6
green,red,5,typical,d,2
yellow,red,5,typical,d,3
green,yellow,5,typical,k,14
red,yellow,5,typical,k,12
yellow,green,5,typical,j,11
blue,green,5,typical,j,9
red,green,5,typical,j,8
yellow,blue,5,typical,f,7
red,red,5,typical,d,0
green,green,5,typical,j,10
red,blue,5,typical,f,4
yellow,yellow,5,typical,k,15
yellow,green,5,typical,j,11
green,blue,5,typical,f,6
red,blue,5,typical,f,4
red,yellow,5,typical,k,12
blue,green,5,typical,j,9
blue,red,5,typical,d,1
yellow,green,5,typical,j,11
blue,yellow,5,typical,k,13
green,yellow,5,typical,k,14
green,red,5,typical,d,2
yellow,blue,5,typical,f,7
green,green,5,typical,j,10
yellow,green,5,typical,j,11
red,blue,5,typical,f,4
red,green,5,typical,j,8
blue,green,5,typical,j,9
green,green,5,typical,j,10
blue,blue,5,typical,f,5
green,red,5,typical,d,2
green,yellow,5,typical,k,14
blue,blue,5,typical,f,5
red,green,5,typical,j,8
red,blue,5,typical,f,4
red,yellow,5,typical,k,12
blue,yellow,5,typical,k,13
blue,red,5,typical,d,1
green,blue,5,typical,f,6
green,red,5,typical,d,2
blue,blue,5,typical,f,5
blue,green,5,typical,j,9
blue,red,5,typical,d,1
yellow,red,5,typical,d,3
red,yellow,5,typical,k,12
yellow,blue,5,typical,f,7
green,green,5,typical,j,10
red,red,5,typical,d,0
yellow,green,5,typical,j,11
red,yellow,5,typical,k,12
yellow,yellow,5,typical,k,15
green,yellow,5,typical,k,14
blue,blue,5,typical,f,5
blue,red,5,typical,d,1
red,red,5,typical,d,0
green,blue,5,typical,f,6
red,red,5,typical,d,0
blue,red,5,typical,d,1
yellow,yellow,5,typical,k,15
yellow,blue,6,atypical,k,7
yellow,green,6,atypical,k,11
yellow,red,6,atypical,k,3
green,yellow,6,atypical,j,14
blue,blue,6,atypical,f,5
green,green,6,atypical,j,10
yellow,yellow,6,atypical,k,15
blue,blue,6,atypical,f,5
red,yellow,6,atypical,d,12
blue,red,6,atypical,f,1
yellow,yellow,6,atypical,k,15
blue,yellow,6,atypical,f,13
yellow,green,6,atypical,k,11
green,red,6,atypical,j,2
yellow,yellow,6,atypical,k,15
red,red,6,atypical,d,0
red,green,6,atypical,d,8
green,green,6,atypical,j,10
green,red,6,atypical,j,2
green,blue,6,atypical,j,6
red,blue,6,atypical,d,4
yellow,blue,6,atypical,k,7
green,yellow,6,atypical,j,14
blue,yellow,6,atypical,f,13
blue,blue,6,atypical,f,5
yellow,yellow,6,atypical,k,15
blue,red,6,atypical,f,1
blue,blue,6,atypical,f,5
green,blue,6,atypical,j,6
red,green,6,atypical,d,8
blue,green,6,atypical,f,9
red,red,6,atypical,d,0
green,green,6,atypical,j,10
red,blue,6,atypical,d,4
yellow,red,6,atypical,k,3
red,green,6,atypical,d,8
yellow,red,6,atypical,k,3
blue,red,6,atypical,f,1
yellow,blue,6,atypical,k,7
red,yellow,6,atypical,d,12
red,red,6,atypical,d,0
blue,green,6,atypical,f,9
red,green,6,atypical,d,8
green,green,6,atypical,j,10
yellow,green,6,atypical,k,11
blue,green,6,atypical,f,9
red,yellow,6,atypical,d,12
green,yellow,6,atypical,j,14
green,red,6,atypical,j,2
red,yellow,6,atypical,d,12
yellow,red,6,atypical,k,3
green,green,6,atypical,j,10
red,yellow,6,atypical,d,12
blue,yellow,6,atypical,f,13
green,red,6,atypical,j,2
red,blue,6,atypical,d,4
yellow,blue,6,atypical,k,7
yellow,yellow,6,atypical,k,15
blue,blue,6,atypical,f,5
red,red,6,atypical,d,0
blue,yellow,6,atypical,f,13
blue,red,6,atypical,f,1
red,blue,6,atypical,d,4
green,yellow,6,atypical,j,14
green,blue,6,atypical,j,6
blue,green,6,atypical,f,9
yellow,red,6,atypical,k,3
yellow,green,6,atypical,k,11
green,blue,6,atypical,j,6
green,red,6,atypical,j,2
yellow,blue,6,atypical,k,7
blue,yellow,6,atypical,f,13
blue,red,6,atypical,f,1
blue,green,6,atypical,f,9
green,yellow,6,atypical,j,14
red,green,6,atypical,d,8
red,blue,6,atypical,d,4
red,red,6,atypical,d,0
green,blue,6,atypical,j,6
yellow,green,6,atypical,k,11
red,red,7,typical,d,0
blue,green,7,typical,j,9
green,yellow,7,typical,k,14
blue,red,7,typical,d,1
blue,blue,7,typical,f,5
blue,red,7,typical,d,1
green,blue,7,typical,f,6
yellow,yellow,7,typical,k,15
blue,yellow,7,typical,k,13
yellow,yellow,7,typical,k,15
yellow,green,7,typical,j,11
green,blue,7,typical,f,6
red,red,7,typical,d,0
blue,green,7,typical,j,9
blue,yellow,7,typical,k,13
red,red,7,typical,d,0
green,yellow,7,typical,k,14
blue,blue,7,typical,f,5
yellow,blue,7,typical,f,7
blue,yellow,7,typical,k,13
red,blue,7,typical,f,4
yellow,red,7,typical,d,3
green,blue,7,typical,f,6
yellow,blue,7,typical,f,7
yellow,green,7,typical,j,11
green,green,7,typical,j,10
green,yellow,7,typical,k,14
green,green,7,typical,j,10
red,yellow,7,typical,k,12
green,yellow,7,typical,k,14
green,blue,7,typical,f,6
red,green,7,typical,j,8
yellow,red,7,typical,d,3
red,blue,7,typical,f,4
blue,blue,7,typical,f,5
green,red,7,typical,d,2
red,yellow,7,typical,k,12
yellow,blue,7,typical,f,7
yellow,red,7,typical,d,3
blue,red,7,typical,d,1
red,red,7,typical,d,0
blue,green,7,typical,j,9
green,blue,7,typical,f,6
yellow,blue,7,typical,f,7
red,green,7,typical,j,8
blue,yellow,7,typical,k,13
red,blue,7,typical,f,4
red,green,7,typical,j,8
green,red,7,typical,d,2
blue,green,7,typical,j,9
blue,red,7,typical,d,1
green,green,7,typical,j,10
yellow,red,7,typical,d,3
green,yellow,7,typical,k,14
yellow,yellow,7,typical,k,15
red,green,7,typical,j,8
blue,green,7,typical,j,9
yellow,green,7,typical,j,11
yellow,yellow,7,typical,k,15
blue,yellow,7,typical,k,13
blue,blue,7,typical,f,5
green,red,7,typical,d,2
yellow,red,7,typical,d,3
yellow,blue,7,typical,f,7
green,green,7,typical,j,10
green,red,7,typical,d,2
red,yellow,7,typical,k,12
blue,blue,7,typical,f,5
red,red,7,typical,d,0
red,blue,7,typical,f,4
red,yellow,7,typical,k,12
yellow,green,7,typical,j,11
yellow,yellow,7,typical,k,15
green,red,7,typical,d,2
blue,red,7,typical,d,1
red,blue,7,typical,f,4
red,green,7,typical,j,8
yellow,green,7,typical,j,11
green,green,7,typical,j,10
red,yellow,7,typical,k,12
red,red,8,atypical,d,0
red,yellow,8,atypical,d,12
green,green,8,atypical,j,10
yellow,red,8,atypical,k,3
yellow,blue,8,atypical,k,7
yellow,red,8,atypical,k,3
yellow,green,8,atypical,k,11
blue,green,8,atypical,f,9
red,yellow,8,atypical,d,12
red,blue,8,atypical,d,4
yellow,yellow,8,atypical,k,15
blue,red,8,atypical,f,1
blue,blue,8,atypical,f,5
green,green,8,atypical,j,10
red,blue,8,atypical,d,4
blue,blue,8,atypical,f,5
blue,yellow,8,atypical,f,13
green,yellow,8,atypical,j,14
red,red,8,atypical,d,0
red,green,8,atypical,d,8
blue,yellow,8,atypical,f,13
red,red,8,atypical,d,0
yellow,green,8,atypical,k,11
green,green,8,atypical,j,10
yellow,yellow,8,atypical,k,15
green,yellow,8,atypical,j,14
red,blue,8,atypical,d,4
blue,green,8,atypical,f,9
yellow,red,8,atypical,k,3
red,green,8,atypical,d,8
green,blue,8,atypical,j,6
blue,green,8,atypical,f,9
red,yellow,8,atypical,d,12
red,red,8,atypical,d,0
green,blue,8,atypical,j,6
yellow,green,8,atypical,k,11
red,green,8,atypical,d,8
red,red,8,atypical,d,0
blue,red,8,atypical,f,1
yellow,red,8,atypical,k,3
blue,blue,8,atypical,f,5
green,green,8,atypical,j,10
yellow,blue,8,atypical,k,7
green,red,8,atypical,j,2
blue,red,8,atypical,f,1
green,red,8,atypical,j,2
blue,yellow,8,atypical,f,13
green,yellow,8,atypical,j,14
green,blue,8,atypical,j,6
yellow,blue,8,atypical,k,7
green,yellow,8,atypical,j,14
blue,blue,8,atypical,f,5
red,yellow,8,atypical,d,12
blue,blue,8,atypical,f,5
green,red,8,atypical,j,2
yellow,blue,8,atypical,k,7
yellow,red,8,atypical,k,3
yellow,green,8,atypical,k,11
yellow,blue,8,atypical,k,7
blue,red,8,atypical,f,1
red,blue,8,atypical,d,4
blue,green,8,atypical,f,9
green,yellow,8,atypical,j,14
red,yellow,8,atypical,d,12
yellow,yellow,8,atypical,k,15
blue,green,8,atypical,f,9
yellow,yellow,8,atypical,k,15
red,blue,8,atypical,d,4
green,blue,8,atypical,j,6
blue,red,8,atypical,f,1
green,green,8,atypical,j,10
green,red,8,atypical,j,2
blue,yellow,8,atypical,f,13
yellow,green,8,atypical,k,11
green,red,8,atypical,j,2
red,green,8,atypical,d,8
blue,yellow,8,atypical,f,13
green,blue,8,atypical,j,6
yellow,yellow,8,atypical,k,15
red,green,8,atypical,d,8
red,green,9,typical,j,8
red,red,9,typical,d,0
green,blue,9,typical,f,6
green,yellow,9,typical,k,14
blue,green,9,typical,j,9
red,blue,9,typical,f,4
blue,blue,9,typical,f,5
yellow,green,9,typical,j,11
red,red,9,typical,d,0
yellow,yellow,9,typical,k,15
red,green,9,typical,j,8
green,red,9,typical,d,2
blue,blue,9,typical,f,5
yellow,red,9,typical,d,3
blue,red,9,typical,d,1
red,yellow,9,typical,k,12
green,red,9,typical,d,2
red,green,9,typical,j,8
yellow,yellow,9,typical,k,15
yellow,blue,9,typical,f,7
yellow,red,9,typical,d,3
blue,red,9,typical,d,1
blue,green,9,typical,j,9
yellow,green,9,typical,j,11
green,yellow,9,typical,k,14
blue,red,9,typical,d,1
red,blue,9,typical,f,4
blue,blue,9,typical,f,5
green,green,9,typical,j,10
red,yellow,9,typical,k,12
yellow,red,9,typical,d,3
red,yellow,9,typical,k,12
blue,blue,9,typical,f,5
red,yellow,9,typical,k,12
green,green,9,typical,j,10
red,blue,9,typical,f,4
green,blue,9,typical,f,6
yellow,red,9,typical,d,3
green,yellow,9,typical,k,14
green,blue,9,typical,f,6
blue,green,9,typical,j,9
green,red,9,typical,d,2
yellow,blue,9,typical,f,7
blue,yellow,9,typical,k,13
red,blue,9,typical,f,4
yellow,green,9,typical,j,11
green,red,9,typical,d,2
green,green,9,typical,j,10
red,red,9,typical,d,0
green,blue,9,typical,f,6
yellow,red,9,typical,d,3
yellow,yellow,9,typical,k,15
green,red,9,typical,d,2
yellow,yellow,9,typical,k,15
red,red,9,typical,d,0
yellow,green,9,typical,j,11
blue,red,9,typical,d,1
blue,yellow,9,typical,k,13
yellow,green,9,typical,j,11
blue,yellow,9,typical,k,13
green,green,9,typical,j,10
red,green,9,typical,j,8
green,green,9,typical,j,10
green,blue,9,typical,f,6
blue,yellow,9,typical,k,13
red,blue,9,typical,f,4
blue,green,9,typical,j,9
red,red,9,typical,d,0
yellow,blue,9,typical,f,7
red,green,9,typical,j,8
yellow,blue,9,typical,f,7
blue,green,9,typical,j,9
blue,red,9,typical,d,1
blue,yellow,9,typical,k,13
green,yellow,9,typical,k,14
yellow,blue,9,typical,f,7
red,yellow,9,typical,k,12
green,yellow,9,typical,k,14
blue,blue,9,typical,f,5
yellow,yellow,9,typical,k,15
green,blue,10,atypical,j,6
blue,blue,10,atypical,f,5
red,red,10,atypical,d,0
blue,red,10,atypical,f,1
yellow,blue,10,atypical,k,7
yellow,yellow,10,atypical,k,15
red,green,10,atypical,d,8
blue,yellow,10,atypical,f,13
red,green,10,atypical,d,8
yellow,green,10,atypical,k,11
blue,green,10,atypical,f,9
blue,red,10,atypical,f,1
red,red,10,atypical,d,0
green,red,10,atypical,j,2
yellow,blue,10,atypical,k,7
yellow,green,10,atypical,k,11
red,green,10,atypical,d,8
blue,red,10,atypical,f,1
green,green,10,atypical,j,10
green,blue,10,atypical,j,6
red,blue,10,atypical,d,4
yellow,blue,10,atypical,k,7
yellow,red,10,atypical,k,3
red,yellow,10,atypical,d,12
red,blue,10,atypical,d,4
red,green,10,atypical,d,8
blue,yellow,10,atypical,f,13
green,red,10,atypical,j,2
yellow,green,10,atypical,k,11
red,red,10,atypical,d,0
red,yellow,10,atypical,d,12
blue,green,10,atypical,f,9
green,yellow,10,atypical,j,14
yellow,green,10,atypical,k,11
yellow,yellow,10,atypical,k,15
green,red,10,atypical,j,2
blue,yellow,10,atypical,f,13
yellow,red,10,atypical,k,3
green,yellow,10,atypical,j,14
yellow,yellow,10,atypical,k,15
blue,blue,10,atypical,f,5
green,green,10,atypical,j,10
red,yellow,10,atypical,d,12
red,blue,10,atypical,d,4
green,yellow,10,atypical,j,14
blue,green,10,atypical,f,9
green,blue,10,atypical,j,6
green,yellow,10,atypical,j,14
red,green,10,atypical,d,8
yellow,blue,10,atypical,k,7
green,blue,10,atypical,j,6
green,yellow,10,atypical,j,14
red,blue,10,atypical,d,4
green,blue,10,atypical,j,6
green,green,10,atypical,j,10
red,red,10,atypical,d,0
red,yellow,10,atypical,d,12
blue,green,10,atypical,f,9
yellow,blue,10,atypical,k,7
blue,blue,10,atypical,f,5
red,red,10,atypical,d,0
green,green,10,atypical,j,10
yellow,yellow,10,atypical,k,15
green,green,10,atypical,j,10
blue,yellow,10,atypical,f,13
yellow,green,10,atypical,k,11
yellow,red,10,atypical,k,3
blue,blue,10,atypical,f,5
yellow,red,10,atypical,k,3
yellow,yellow,10,atypical,k,15
green,red,10,atypical,j,2
red,blue,10,atypical,d,4
blue,red,10,atypical,f,1
blue,blue,10,atypical,f,5
blue,red,10,atypical,f,1
green,red,10,atypical,j,2
red,yellow,10,atypical,d,12
yellow,red,10,atypical,k,3
blue,yellow,10,atypical,f,13
blue,green,10,atypical,f,9
