ColorWord,FontColor,.thisRepN,.thisTrialN,.thisN,.thisIndex,Block,
yellow,yellow,4,3,67,15,2,
yellow,green,4,4,68,11,2,
red,red,4,5,69,0,2,
red,green,4,6,70,8,2,
green,yellow,4,7,71,14,2,
blue,blue,4,8,72,5,2,
red,green,4,9,73,8,2,
blue,yellow,4,10,74,13,2,
green,yellow,4,11,75,14,2,
yellow,blue,4,12,76,7,2,
green,blue,4,13,77,6,2,
blue,green,4,14,78,9,2,
green,green,4,15,79,10,2,
green,green,0,0,0,10,3,
blue,red,0,1,1,1,3,
blue,green,0,2,2,9,3,
blue,blue,0,3,3,5,3,
yellow,yellow,0,4,4,15,3,
blue,green,0,5,5,9,3,
red,red,0,6,6,0,3,
red,green,0,7,7,8,3,
green,red,0,8,8,2,3,
green,yellow,0,9,9,14,3,
blue,yellow,0,10,10,13,3,
yellow,blue,0,11,11,7,3,
red,blue,0,12,12,4,3,
yellow,blue,0,13,13,7,3,
yellow,red,0,14,14,3,3,
green,blue,0,15,15,6,3,
blue,red,1,0,16,1,3,
red,blue,1,1,17,4,3,
blue,green,1,2,18,9,3,
yellow,green,1,3,19,11,3,
blue,yellow,1,4,20,13,3,
yellow,yellow,1,5,21,15,3,
blue,yellow,1,6,22,13,3,
blue,blue,1,7,23,5,3,
blue,red,1,8,24,1,3,
red,green,1,9,25,8,3,
red,red,1,10,26,0,3,
green,yellow,1,11,27,14,3,
blue,blue,1,12,28,5,3,
red,red,1,13,29,0,3,
blue,yellow,1,14,30,13,3,
red,red,1,15,31,0,3,
green,green,2,0,32,10,3,
yellow,green,2,1,33,11,3,
red,green,2,2,34,8,3,
yellow,red,2,3,35,3,3,
yellow,red,2,4,36,3,3,
yellow,blue,2,5,37,7,3,
blue,green,2,6,38,9,3,
blue,red,2,7,39,1,3,
blue,blue,2,8,40,5,3,
red,red,2,9,41,0,3,
yellow,yellow,2,10,42,15,3,
yellow,red,2,11,43,3,3,
blue,yellow,2,12,44,13,3,
green,red,2,13,45,2,3,
green,green,2,14,46,10,3,
green,red,2,15,47,2,3,
blue,blue,3,0,48,5,3,
red,blue,3,1,49,4,3,
green,yellow,3,2,50,14,3,
red,yellow,3,3,51,12,3,
red,blue,3,4,52,4,3,
green,red,3,5,53,2,3,
blue,red,3,6,54,1,3,
green,green,3,7,55,10,3,
green,blue,3,8,56,6,3,
yellow,green,3,9,57,11,3,
green,yellow,3,10,58,14,3,
yellow,green,3,11,59,11,3,
green,green,3,12,60,10,3,
green,blue,3,13,61,6,3,
red,yellow,3,14,62,12,3,
red,yellow,3,15,63,12,3,
red,green,4,0,64,8,3,
yellow,yellow,4,1,65,15,3,
blue,green,4,2,66,9,3,
red,yellow,4,3,67,12,3,
yellow,red,4,4,68,3,3,
red,green,4,5,69,8,3,
yellow,green,4,6,70,11,3,
green,yellow,4,7,71,14,3,
green,blue,4,8,72,6,3,
yellow,yellow,4,9,73,15,3,
red,yellow,4,10,74,12,3,
red,blue,4,11,75,4,3,
yellow,blue,4,12,76,7,3,
yellow,blue,4,13,77,7,3,
green,blue,4,14,78,6,3,
green,red,4,15,79,2,3,
blue,yellow,0,0,0,13,4,
green,yellow,0,1,1,14,4,
green,red,0,2,2,2,4,
blue,blue,0,3,3,5,4,
red,blue,0,4,4,4,4,
red,green,0,5,5,8,4,
green,red,0,6,6,2,4,
yellow,blue,0,7,7,7,4,
green,blue,0,8,8,6,4,
blue,green,0,9,9,9,4,
yellow,red,0,10,10,3,4,
blue,green,0,11,11,9,4,
blue,red,0,12,12,1,4,
blue,red,0,13,13,1,4,
yellow,red,0,14,14,3,4,
red,red,0,15,15,0,4,
yellow,yellow,1,0,16,15,4,
green,red,1,1,17,2,4,
yellow,yellow,1,2,18,15,4,
blue,red,1,3,19,1,4,
green,red,1,4,20,2,4,
blue,blue,1,5,21,5,4,
green,blue,1,6,22,6,4,
yellow,yellow,1,7,23,15,4,
blue,blue,1,8,24,5,4,
yellow,red,1,9,25,3,4,
yellow,blue,1,10,26,7,4,
red,yellow,1,11,27,12,4,
green,red,1,12,28,2,4,
yellow,green,1,13,29,11,4,
green,blue,1,14,30,6,4,
red,blue,1,15,31,4,4,
red,green,2,0,32,8,4,
red,yellow,2,1,33,12,4,
blue,green,2,2,34,9,4,
yellow,yellow,2,3,35,15,4,
blue,yellow,2,4,36,13,4,
green,yellow,2,5,37,14,4,
green,green,2,6,38,10,4,
green,yellow,2,7,39,14,4,
green,green,2,8,40,10,4,
blue,blue,2,9,41,5,4,
green,green,2,10,42,10,4,
green,yellow,2,11,43,14,4,
red,green,2,12,44,8,4,
yellow,green,2,13,45,11,4,
red,red,2,14,46,0,4,
red,red,2,15,47,0,4,
red,red,3,0,48,0,4,
green,yellow,3,1,49,14,4,
yellow,blue,3,2,50,7,4,
blue,green,3,3,51,9,4,
blue,red,3,4,52,1,4,
green,blue,3,5,53,6,4,
yellow,blue,3,6,54,7,4,
red,blue,3,7,55,4,4,
blue,yellow,3,8,56,13,4,
yellow,green,3,9,57,11,4,
red,red,3,10,58,0,4,
yellow,green,3,11,59,11,4,
yellow,blue,3,12,60,7,4,
blue,green,3,13,61,9,4,
yellow,red,3,14,62,3,4,
green,green,3,15,63,10,4,
red,green,4,0,64,8,4,
blue,yellow,4,1,65,13,4,
blue,red,4,2,66,1,4,
red,yellow,4,3,67,12,4,
yellow,red,4,4,68,3,4,
blue,blue,4,5,69,5,4,
yellow,green,4,6,70,11,4,
blue,yellow,4,7,71,13,4,
red,yellow,4,8,72,12,4,
green,blue,4,9,73,6,4,
red,blue,4,10,74,4,4,
red,green,4,11,75,8,4,
red,yellow,4,12,76,12,4,
green,green,4,13,77,10,4,
yellow,yellow,4,14,78,15,4,
red,blue,4,15,79,4,4,
yellow,yellow,0,0,0,15,5,
blue,blue,0,1,1,5,5,
red,red,0,2,2,0,5,
blue,green,0,3,3,9,5,
red,green,0,4,4,8,5,
red,yellow,0,5,5,12,5,
yellow,blue,0,6,6,7,5,
red,yellow,0,7,7,12,5,
green,green,0,8,8,10,5,
yellow,green,0,9,9,11,5,
blue,green,0,10,10,9,5,
yellow,yellow,0,11,11,15,5,
blue,red,0,12,12,1,5,
green,blue,0,13,13,6,5,
green,blue,0,14,14,6,5,
green,red,0,15,15,2,5,
green,red,1,0,16,2,5,
blue,green,1,1,17,9,5,
blue,blue,1,2,18,5,5,
red,blue,1,3,19,4,5,
green,blue,1,4,20,6,5,
blue,green,1,5,21,9,5,
green,yellow,1,6,22,14,5,
green,green,1,7,23,10,5,
blue,red,1,8,24,1,5,
red,blue,1,9,25,4,5,
red,yellow,1,10,26,12,5,
green,green,1,11,27,10,5,
yellow,green,1,12,28,11,5,
yellow,green,1,13,29,11,5,
red,red,1,14,30,0,5,
blue,yellow,1,15,31,13,5,
green,red,2,0,32,2,5,
green,red,2,1,33,2,5,
yellow,red,2,2,34,3,5,
red,red,2,3,35,0,5,
red,green,2,4,36,8,5,
red,blue,2,5,37,4,5,
green,yellow,2,6,38,14,5,
green,yellow,2,7,39,14,5,
green,green,2,8,40,10,5,
blue,blue,2,9,41,5,5,
yellow,green,2,10,42,11,5,
blue,yellow,2,11,43,13,5,
blue,blue,2,12,44,5,5,
yellow,green,2,13,45,11,5,
blue,yellow,2,14,46,13,5,
blue,blue,2,15,47,5,5,
red,blue,3,0,48,4,5,
red,green,3,1,49,8,5,
yellow,blue,3,2,50,7,5,
yellow,red,3,3,51,3,5,
blue,green,3,4,52,9,5,
blue,red,3,5,53,1,5,
yellow,red,3,6,54,3,5,
red,yellow,3,7,55,12,5,
blue,yellow,3,8,56,13,5,
yellow,red,3,9,57,3,5,
red,green,3,10,58,8,5,
blue,yellow,3,11,59,13,5,
green,yellow,3,12,60,14,5,
yellow,blue,3,13,61,7,5,
blue,red,3,14,62,1,5,
red,green,3,15,63,8,5,
red,red,4,0,64,0,5,
yellow,blue,4,1,65,7,5,
yellow,yellow,4,2,66,15,5,
green,yellow,4,3,67,14,5,
red,blue,4,4,68,4,5,
red,yellow,4,5,69,12,5,
yellow,yellow,4,6,70,15,5,
yellow,blue,4,7,71,7,5,
yellow,yellow,4,8,72,15,5,
red,red,4,9,73,0,5,
green,blue,4,10,74,6,5,
blue,red,4,11,75,1,5,
yellow,red,4,12,76,3,5,
green,red,4,13,77,2,5,
green,green,4,14,78,10,5,
green,blue,4,15,79,6,5,
green,red,0,0,0,2,6,
red,blue,0,1,1,4,6,
red,red,0,2,2,0,6,
blue,blue,0,3,3,5,6,
blue,yellow,0,4,4,13,6,
red,blue,0,5,5,4,6,
blue,red,0,6,6,1,6,
green,green,0,7,7,10,6,
blue,green,0,8,8,9,6,
red,yellow,0,9,9,12,6,
yellow,yellow,0,10,10,15,6,
red,yellow,0,11,11,12,6,
yellow,red,0,12,12,3,6,
red,green,0,13,13,8,6,
yellow,yellow,0,14,14,15,6,
blue,blue,0,15,15,5,6,
yellow,red,1,0,16,3,6,
green,blue,1,1,17,6,6,
yellow,blue,1,2,18,7,6,
blue,red,1,3,19,1,6,
green,yellow,1,4,20,14,6,
red,red,1,5,21,0,6,
green,blue,1,6,22,6,6,
yellow,red,1,7,23,3,6,
blue,red,1,8,24,1,6,
yellow,blue,1,9,25,7,6,
blue,yellow,1,10,26,13,6,
red,red,1,11,27,0,6,
green,red,1,12,28,2,6,
green,green,1,13,29,10,6,
yellow,yellow,1,14,30,15,6,
red,blue,1,15,31,4,6,
red,green,2,0,32,8,6,
red,yellow,2,1,33,12,6,
blue,yellow,2,2,34,13,6,
yellow,yellow,2,3,35,15,6,
green,blue,2,4,36,6,6,
blue,yellow,2,5,37,13,6,
green,blue,2,6,38,6,6,
red,green,2,7,39,8,6,
yellow,red,2,8,40,3,6,
blue,blue,2,9,41,5,6,
red,green,2,10,42,8,6,
yellow,yellow,2,11,43,15,6,
blue,green,2,12,44,9,6,
green,yellow,2,13,45,14,6,
red,yellow,2,14,46,12,6,
green,blue,2,15,47,6,6,
red,blue,3,0,48,4,6,
blue,red,3,1,49,1,6,
yellow,green,3,2,50,11,6,
yellow,green,3,3,51,11,6,
red,green,3,4,52,8,6,
green,yellow,3,5,53,14,6,
red,yellow,3,6,54,12,6,
yellow,blue,3,7,55,7,6,
green,red,3,8,56,2,6,
yellow,green,3,9,57,11,6,
blue,blue,3,10,58,5,6,
blue,green,3,11,59,9,6,
blue,yellow,3,12,60,13,6,
green,green,3,13,61,10,6,
red,red,3,14,62,0,6,
blue,green,3,15,63,9,6,
yellow,red,4,0,64,3,6,
yellow,green,4,1,65,11,6,
yellow,blue,4,2,66,7,6,
blue,red,4,3,67,1,6,
green,red,4,4,68,2,6,
green,yellow,4,5,69,14,6,
yellow,blue,4,6,70,7,6,
yellow,green,4,7,71,11,6,
red,red,4,8,72,0,6,
red,blue,4,9,73,4,6,
green,yellow,4,10,74,14,6,
green,red,4,11,75,2,6,
blue,blue,4,12,76,5,6,
blue,green,4,13,77,9,6,
green,green,4,14,78,10,6,
green,green,4,15,79,10,6,
blue,red,0,0,0,1,7,
yellow,green,0,1,1,11,7,
red,red,0,2,2,0,7,
blue,green,0,3,3,9,7,
green,blue,0,4,4,6,7,
yellow,red,0,5,5,3,7,
red,red,0,6,6,0,7,
yellow,green,0,7,7,11,7,
green,red,0,8,8,2,7,
blue,green,0,9,9,9,7,
yellow,yellow,0,10,10,15,7,
green,green,0,11,11,10,7,
red,blue,0,12,12,4,7,
red,yellow,0,13,13,12,7,
blue,red,0,14,14,1,7,
green,blue,0,15,15,6,7,
red,blue,1,0,16,4,7,
green,green,1,1,17,10,7,
yellow,blue,1,2,18,7,7,
red,red,1,3,19,0,7,
yellow,yellow,1,4,20,15,7,
yellow,yellow,1,5,21,15,7,
green,green,1,6,22,10,7,
blue,blue,1,7,23,5,7,
blue,red,1,8,24,1,7,
blue,yellow,1,9,25,13,7,
red,green,1,10,26,8,7,
green,yellow,1,11,27,14,7,
blue,red,1,12,28,1,7,
blue,yellow,1,13,29,13,7,
green,yellow,1,14,30,14,7,
green,red,1,15,31,2,7,
red,green,2,0,32,8,7,
green,blue,2,1,33,6,7,
yellow,green,2,2,34,11,7,
green,blue,2,3,35,6,7,
yellow,blue,2,4,36,7,7,
blue,yellow,2,5,37,13,7,
blue,green,2,6,38,9,7,
red,blue,2,7,39,4,7,
blue,yellow,2,8,40,13,7,
blue,blue,2,9,41,5,7,
blue,blue,2,10,42,5,7,
yellow,red,2,11,43,3,7,
yellow,red,2,12,44,3,7,
yellow,blue,2,13,45,7,7,
red,yellow,2,14,46,12,7,
yellow,red,2,15,47,3,7,
red,blue,3,0,48,4,7,
yellow,green,3,1,49,11,7,
green,green,3,2,50,10,7,
green,yellow,3,3,51,14,7,
green,yellow,3,4,52,14,7,
blue,blue,3,5,53,5,7,
red,yellow,3,6,54,12,7,
red,yellow,3,7,55,12,7,
red,red,3,8,56,0,7,
red,green,3,9,57,8,7,
red,yellow,3,10,58,12,7,
yellow,blue,3,11,59,7,7,
red,green,3,12,60,8,7,
green,blue,3,13,61,6,7,
yellow,yellow,3,14,62,15,7,
yellow,blue,3,15,63,7,7,
blue,green,4,0,64,9,7,
red,blue,4,1,65,4,7,
yellow,red,4,2,66,3,7,
blue,yellow,4,3,67,13,7,
green,red,4,4,68,2,7,
green,yellow,4,5,69,14,7,
red,red,4,6,70,0,7,
yellow,green,4,7,71,11,7,
green,red,4,8,72,2,7,
blue,green,4,9,73,9,7,
green,red,4,10,74,2,7,
green,green,4,11,75,10,7,
red,green,4,12,76,8,7,
yellow,yellow,4,13,77,15,7,
blue,blue,4,14,78,5,7,
blue,red,4,15,79,1,7,
green,blue,0,0,0,6,8,
blue,red,0,1,1,1,8,
yellow,yellow,0,2,2,15,8,
green,yellow,0,3,3,14,8,
blue,blue,0,4,4,5,8,
blue,green,0,5,5,9,8,
yellow,green,0,6,6,11,8,
blue,blue,0,7,7,5,8,
yellow,green,0,8,8,11,8,
red,red,0,9,9,0,8,
green,blue,0,10,10,6,8,
red,red,0,11,11,0,8,
green,red,0,12,12,2,8,
green,blue,0,13,13,6,8,
red,yellow,0,14,14,12,8,
yellow,green,0,15,15,11,8,
red,green,1,0,16,8,8,
green,red,1,1,17,2,8,
green,green,1,2,18,10,8,
red,yellow,1,3,19,12,8,
yellow,green,1,4,20,11,8,
green,yellow,1,5,21,14,8,
blue,green,1,6,22,9,8,
green,green,1,7,23,10,8,
blue,red,1,8,24,1,8,
blue,green,1,9,25,9,8,
red,green,1,10,26,8,8,
green,green,1,11,27,10,8,
blue,yellow,1,12,28,13,8,
red,red,1,13,29,0,8,
blue,yellow,1,14,30,13,8,
red,green,1,15,31,8,8,
yellow,red,2,0,32,3,8,
yellow,blue,2,1,33,7,8,
red,blue,2,2,34,4,8,
red,blue,2,3,35,4,8,
red,green,2,4,36,8,8,
red,yellow,2,5,37,12,8,
yellow,yellow,2,6,38,15,8,
green,red,2,7,39,2,8,
yellow,red,2,8,40,3,8,
blue,green,2,9,41,9,8,
green,yellow,2,10,42,14,8,
red,red,2,11,43,0,8,
blue,yellow,2,12,44,13,8,
green,red,2,13,45,2,8,
yellow,green,2,14,46,11,8,
green,blue,2,15,47,6,8,
green,yellow,3,0,48,14,8,
yellow,yellow,3,1,49,15,8,
yellow,red,3,2,50,3,8,
green,red,3,3,51,2,8,
green,blue,3,4,52,6,8,
blue,blue,3,5,53,5,8,
red,green,3,6,54,8,8,
yellow,blue,3,7,55,7,8,
red,blue,3,8,56,4,8,
blue,blue,3,9,57,5,8,
blue,red,3,10,58,1,8,
blue,blue,3,11,59,5,8,
yellow,red,3,12,60,3,8,
red,yellow,3,13,61,12,8,
yellow,yellow,3,14,62,15,8,
green,green,3,15,63,10,8,
yellow,red,4,0,64,3,8,
yellow,blue,4,1,65,7,8,
yellow,blue,4,2,66,7,8,
red,red,4,3,67,0,8,
blue,yellow,4,4,68,13,8,
blue,red,4,5,69,1,8,
red,blue,4,6,70,4,8,
red,blue,4,7,71,4,8,
green,green,4,8,72,10,8,
yellow,yellow,4,9,73,15,8,
blue,green,4,10,74,9,8,
red,yellow,4,11,75,12,8,
blue,yellow,4,12,76,13,8,
yellow,blue,4,13,77,7,8,
green,yellow,4,14,78,14,8,
blue,red,4,15,79,1,8,
red,green,0,0,0,8,9,
blue,blue,0,1,1,5,9,
green,blue,0,2,2,6,9,
red,yellow,0,3,3,12,9,
green,green,0,4,4,10,9,
green,blue,0,5,5,6,9,
blue,yellow,0,6,6,13,9,
yellow,red,0,7,7,3,9,
yellow,blue,0,8,8,7,9,
yellow,yellow,0,9,9,15,9,
red,blue,0,10,10,4,9,
red,red,0,11,11,0,9,
green,yellow,0,12,12,14,9,
blue,red,0,13,13,1,9,
blue,blue,0,14,14,5,9,
blue,red,0,15,15,1,9,
red,yellow,1,0,16,12,9,
blue,green,1,1,17,9,9,
red,yellow,1,2,18,12,9,
blue,green,1,3,19,9,9,
green,green,1,4,20,10,9,
yellow,green,1,5,21,11,9,
blue,blue,1,6,22,5,9,
yellow,green,1,7,23,11,9,
green,red,1,8,24,2,9,
yellow,red,1,9,25,3,9,
red,red,1,10,26,0,9,
green,blue,1,11,27,6,9,
red,blue,1,12,28,4,9,
blue,yellow,1,13,29,13,9,
blue,red,1,14,30,1,9,
blue,yellow,1,15,31,13,9,
blue,red,2,0,32,1,9,
blue,yellow,2,1,33,13,9,
yellow,green,2,2,34,11,9,
red,green,2,3,35,8,9,
yellow,blue,2,4,36,7,9,
yellow,yellow,2,5,37,15,9,
yellow,red,2,6,38,3,9,
yellow,blue,2,7,39,7,9,
red,red,2,8,40,0,9,
yellow,yellow,2,9,41,15,9,
yellow,blue,2,10,42,7,9,
yellow,blue,2,11,43,7,9,
green,yellow,2,12,44,14,9,
blue,green,2,13,45,9,9,
blue,red,2,14,46,1,9,
blue,blue,2,15,47,5,9,
red,blue,3,0,48,4,9,
green,green,3,1,49,10,9,
blue,blue,3,2,50,5,9,
green,blue,3,3,51,6,9,
yellow,green,3,4,52,11,9,
green,yellow,3,5,53,14,9,
red,yellow,3,6,54,12,9,
red,red,3,7,55,0,9,
blue,yellow,3,8,56,13,9,
red,blue,3,9,57,4,9,
red,green,3,10,58,8,9,
yellow,red,3,11,59,3,9,
red,yellow,3,12,60,12,9,
yellow,red,3,13,61,3,9,
blue,green,3,14,62,9,9,
yellow,green,3,15,63,11,9,
yellow,yellow,4,0,64,15,9,
green,red,4,1,65,2,9,
green,red,4,2,66,2,9,
green,green,4,3,67,10,9,
green,yellow,4,4,68,14,9,
yellow,yellow,4,5,69,15,9,
blue,green,4,6,70,9,9,
green,red,4,7,71,2,9,
green,yellow,4,8,72,14,9,
green,blue,4,9,73,6,9,
red,green,4,10,74,8,9,
red,red,4,11,75,0,9,
green,green,4,12,76,10,9,
red,green,4,13,77,8,9,
red,blue,4,14,78,4,9,
green,red,4,15,79,2,9,
green,green,0,0,0,10,10,
yellow,yellow,0,1,1,15,10,
red,green,0,2,2,8,10,
green,blue,0,3,3,6,10,
yellow,blue,0,4,4,7,10,
yellow,yellow,0,5,5,15,10,
blue,red,0,6,6,1,10,
red,blue,0,7,7,4,10,
green,red,0,8,8,2,10,
red,yellow,0,9,9,12,10,
blue,blue,0,10,10,5,10,
yellow,red,0,11,11,3,10,
green,blue,0,12,12,6,10,
blue,red,0,13,13,1,10,
green,red,0,14,14,2,10,
green,green,0,15,15,10,10,
red,yellow,1,0,16,12,10,
yellow,green,1,1,17,11,10,
red,blue,1,2,18,4,10,
red,blue,1,3,19,4,10,
blue,green,1,4,20,9,10,
green,green,1,5,21,10,10,
blue,blue,1,6,22,5,10,
red,green,1,7,23,8,10,
green,yellow,1,8,24,14,10,
yellow,green,1,9,25,11,10,
green,yellow,1,10,26,14,10,
yellow,red,1,11,27,3,10,
green,red,1,12,28,2,10,
blue,yellow,1,13,29,13,10,
red,red,1,14,30,0,10,
blue,green,1,15,31,9,10,
red,red,2,0,32,0,10,
green,blue,2,1,33,6,10,
yellow,blue,2,2,34,7,10,
green,yellow,2,3,35,14,10,
red,blue,2,4,36,4,10,
green,yellow,2,5,37,14,10,
yellow,green,2,6,38,11,10,
yellow,green,2,7,39,11,10,
green,green,2,8,40,10,10,
yellow,blue,2,9,41,7,10,
yellow,red,2,10,42,3,10,
blue,red,2,11,43,1,10,
blue,red,2,12,44,1,10,
blue,green,2,13,45,9,10,
red,yellow,2,14,46,12,10,
yellow,green,2,15,47,11,10,
yellow,yellow,3,0,48,15,10,
blue,yellow,3,1,49,13,10,
red,red,3,2,50,0,10,
red,yellow,3,3,51,12,10,
yellow,blue,3,4,52,7,10,
blue,yellow,3,5,53,13,10,
blue,green,3,6,54,9,10,
green,blue,3,7,55,6,10,
blue,yellow,3,8,56,13,10,
red,red,3,9,57,0,10,
yellow,yellow,3,10,58,15,10,
green,red,3,11,59,2,10,
yellow,red,3,12,60,3,10,
blue,blue,3,13,61,5,10,
red,green,3,14,62,8,10,
blue,red,3,15,63,1,10,
green,yellow,4,0,64,14,10,
green,red,4,1,65,2,10,
blue,yellow,4,2,66,13,10,
blue,blue,4,3,67,5,10,
red,blue,4,4,68,4,10,
red,yellow,4,5,69,12,10,
yellow,yellow,4,6,70,15,10,
blue,green,4,7,71,9,10,
red,green,4,8,72,8,10,
blue,blue,4,9,73,5,10,
yellow,red,4,10,74,3,10,
green,blue,4,11,75,6,10,
red,green,4,12,76,8,10,
yellow,blue,4,13,77,7,10,
green,green,4,14,78,10,10,
red,red,4,15,79,0,10,
