ColorWord,FontColor,StimType,.thisRepN,.thisTrialN,.thisN,.thisIndex,Block,Instruction,CorAns,
red,yellow,12,0,47,47,47,3,typical,k,
yellow,red,3,0,48,48,48,3,typical,d,
yellow,green,11,0,49,49,49,3,typical,j,
red,green,8,0,50,50,50,3,typical,j,
blue,green,9,0,51,51,51,3,typical,j,
yellow,red,3,0,52,52,52,3,typical,d,
red,blue,4,0,53,53,53,3,typical,f,
yellow,red,3,0,54,54,54,3,typical,d,
red,red,0,0,55,55,55,3,typical,d,
red,green,8,0,56,56,56,3,typical,j,
green,yellow,14,0,57,57,57,3,typical,k,
blue,blue,5,0,58,58,58,3,typical,f,
yellow,blue,7,0,59,59,59,3,typical,f,
green,blue,6,0,60,60,60,3,typical,f,
red,yellow,12,0,61,61,61,3,typical,k,
red,blue,4,0,62,62,62,3,typical,f,
yellow,green,11,0,63,63,63,3,typical,j,
yellow,blue,7,0,64,64,64,3,typical,f,
green,yellow,14,0,65,65,65,3,typical,k,
yellow,yellow,15,0,66,66,66,3,typical,k,
blue,red,1,0,67,67,67,3,typical,d,
blue,green,9,0,68,68,68,3,typical,j,
green,red,2,0,69,69,69,3,typical,d,
red,green,8,0,70,70,70,3,typical,j,
blue,red,1,0,71,71,71,3,typical,d,
green,yellow,14,0,72,72,72,3,typical,k,
red,yellow,12,0,73,73,73,3,typical,k,
green,green,10,0,74,74,74,3,typical,j,
blue,blue,5,0,75,75,75,3,typical,f,
green,green,10,0,76,76,76,3,typical,j,
green,red,2,0,77,77,77,3,typical,d,
yellow,blue,7,0,78,78,78,3,typical,f,
yellow,yellow,15,0,79,79,79,3,typical,k,
green,red,2,0,0,0,0,4,atypical,j,
green,blue,6,0,1,1,1,4,atypical,j,
blue,red,1,0,2,2,2,4,atypical,f,
blue,green,9,0,3,3,3,4,atypical,f,
green,red,2,0,4,4,4,4,atypical,j,
yellow,yellow,15,0,5,5,5,4,atypical,k,
yellow,green,11,0,6,6,6,4,atypical,k,
blue,yellow,13,0,7,7,7,4,atypical,f,
green,yellow,14,0,8,8,8,4,atypical,j,
red,green,8,0,9,9,9,4,atypical,d,
yellow,red,3,0,10,10,10,4,atypical,k,
green,green,10,0,11,11,11,4,atypical,j,
blue,green,9,0,12,12,12,4,atypical,f,
green,blue,6,0,13,13,13,4,atypical,j,
yellow,yellow,15,0,14,14,14,4,atypical,k,
green,green,10,0,15,15,15,4,atypical,j,
blue,red,1,0,16,16,16,4,atypical,f,
blue,blue,5,0,17,17,17,4,atypical,f,
green,green,10,0,18,18,18,4,atypical,j,
yellow,green,11,0,19,19,19,4,atypical,k,
red,blue,4,0,20,20,20,4,atypical,d,
blue,blue,5,0,21,21,21,4,atypical,f,
yellow,blue,7,0,22,22,22,4,atypical,k,
green,yellow,14,0,23,23,23,4,atypical,j,
yellow,yellow,15,0,24,24,24,4,atypical,k,
yellow,blue,7,0,25,25,25,4,atypical,k,
yellow,red,3,0,26,26,26,4,atypical,k,
blue,red,1,0,27,27,27,4,atypical,f,
green,yellow,14,0,28,28,28,4,atypical,j,
blue,blue,5,0,29,29,29,4,atypical,f,
red,yellow,12,0,30,30,30,4,atypical,d,
yellow,red,3,0,31,31,31,4,atypical,k,
blue,yellow,13,0,32,32,32,4,atypical,f,
red,green,8,0,33,33,33,4,atypical,d,
red,red,0,0,34,34,34,4,atypical,d,
green,blue,6,0,35,35,35,4,atypical,j,
yellow,yellow,15,0,36,36,36,4,atypical,k,
yellow,blue,7,0,37,37,37,4,atypical,k,
red,blue,4,0,38,38,38,4,atypical,d,
yellow,blue,7,0,39,39,39,4,atypical,k,
blue,red,1,0,40,40,40,4,atypical,f,
green,green,10,0,41,41,41,4,atypical,j,
blue,red,1,0,42,42,42,4,atypical,f,
blue,green,9,0,43,43,43,4,atypical,f,
red,red,0,0,44,44,44,4,atypical,d,
green,green,10,0,45,45,45,4,atypical,j,
green,red,2,0,46,46,46,4,atypical,j,
blue,yellow,13,0,47,47,47,4,atypical,f,
red,yellow,12,0,48,48,48,4,atypical,d,
green,blue,6,0,49,49,49,4,atypical,j,
blue,yellow,13,0,50,50,50,4,atypical,f,
red,green,8,0,51,51,51,4,atypical,d,
yellow,green,11,0,52,52,52,4,atypical,k,
green,red,2,0,53,53,53,4,atypical,j,
red,red,0,0,54,54,54,4,atypical,d,
yellow,green,11,0,55,55,55,4,atypical,k,
red,yellow,12,0,56,56,56,4,atypical,d,
yellow,red,3,0,57,57,57,4,atypical,k,
yellow,green,11,0,58,58,58,4,atypical,k,
red,yellow,12,0,59,59,59,4,atypical,d,
red,blue,4,0,60,60,60,4,atypical,d,
yellow,blue,7,0,61,61,61,4,atypical,k,
yellow,yellow,15,0,62,62,62,4,atypical,k,
red,yellow,12,0,63,63,63,4,atypical,d,
green,red,2,0,64,64,64,4,atypical,j,
blue,blue,5,0,65,65,65,4,atypical,f,
red,green,8,0,66,66,66,4,atypical,d,
red,red,0,0,67,67,67,4,atypical,d,
blue,green,9,0,68,68,68,4,atypical,f,
yellow,red,3,0,69,69,69,4,atypical,k,
blue,yellow,13,0,70,70,70,4,atypical,f,
red,green,8,0,71,71,71,4,atypical,d,
blue,green,9,0,72,72,72,4,atypical,f,
red,red,0,0,73,73,73,4,atypical,d,
green,yellow,14,0,74,74,74,4,atypical,j,
red,blue,4,0,75,75,75,4,atypical,d,
green,yellow,14,0,76,76,76,4,atypical,j,
blue,blue,5,0,77,77,77,4,atypical,f,
green,blue,6,0,78,78,78,4,atypical,j,
red,blue,4,0,79,79,79,4,atypical,d,
yellow,green,11,0,0,0,0,5,typical,j,
red,red,0,0,1,1,1,5,typical,d,
yellow,red,3,0,2,2,2,5,typical,d,
green,blue,6,0,3,3,3,5,typical,f,
blue,blue,5,0,4,4,4,5,typical,f,
red,blue,4,0,5,5,5,5,typical,f,
red,yellow,12,0,6,6,6,5,typical,k,
yellow,yellow,15,0,7,7,7,5,typical,k,
blue,red,1,0,8,8,8,5,typical,d,
green,yellow,14,0,9,9,9,5,typical,k,
red,green,8,0,10,10,10,5,typical,j,
blue,blue,5,0,11,11,11,5,typical,f,
green,yellow,14,0,12,12,12,5,typical,k,
red,yellow,12,0,13,13,13,5,typical,k,
green,red,2,0,14,14,14,5,typical,d,
blue,red,1,0,15,15,15,5,typical,d,
green,blue,6,0,16,16,16,5,typical,f,
blue,yellow,13,0,17,17,17,5,typical,k,
yellow,yellow,15,0,18,18,18,5,typical,k,
yellow,blue,7,0,19,19,19,5,typical,f,
blue,red,1,0,20,20,20,5,typical,d,
red,red,0,0,21,21,21,5,typical,d,
green,green,10,0,22,22,22,5,typical,j,
yellow,red,3,0,23,23,23,5,typical,d,
green,green,10,0,24,24,24,5,typical,j,
yellow,yellow,15,0,25,25,25,5,typical,k,
red,yellow,12,0,26,26,26,5,typical,k,
red,green,8,0,27,27,27,5,typical,j,
yellow,red,3,0,28,28,28,5,typical,d,
blue,green,9,0,29,29,29,5,typical,j,
blue,red,1,0,30,30,30,5,typical,d,
yellow,red,3,0,31,31,31,5,typical,d,
red,yellow,12,0,32,32,32,5,typical,k,
red,green,8,0,33,33,33,5,typical,j,
blue,green,9,0,34,34,34,5,typical,j,
blue,yellow,13,0,35,35,35,5,typical,k,
yellow,blue,7,0,36,36,36,5,typical,f,
blue,blue,5,0,37,37,37,5,typical,f,
green,red,2,0,38,38,38,5,typical,d,
green,blue,6,0,39,39,39,5,typical,f,
yellow,green,11,0,40,40,40,5,typical,j,
green,yellow,14,0,41,41,41,5,typical,k,
red,red,0,0,42,42,42,5,typical,d,
blue,green,9,0,43,43,43,5,typical,j,
blue,blue,5,0,44,44,44,5,typical,f,
yellow,green,11,0,45,45,45,5,typical,j,
red,green,8,0,46,46,46,5,typical,j,
green,green,10,0,47,47,47,5,typical,j,
blue,green,9,0,48,48,48,5,typical,j,
blue,yellow,13,0,49,49,49,5,typical,k,
yellow,green,11,0,50,50,50,5,typical,j,
blue,yellow,13,0,51,51,51,5,typical,k,
green,blue,6,0,52,52,52,5,typical,f,
green,yellow,14,0,53,53,53,5,typical,k,
green,green,10,0,54,54,54,5,typical,j,
blue,blue,5,0,55,55,55,5,typical,f,
blue,green,9,0,56,56,56,5,typical,j,
yellow,yellow,15,0,57,57,57,5,typical,k,
green,red,2,0,58,58,58,5,typical,d,
blue,yellow,13,0,59,59,59,5,typical,k,
green,green,10,0,60,60,60,5,typical,j,
red,green,8,0,61,61,61,5,typical,j,
blue,red,1,0,62,62,62,5,typical,d,
red,yellow,12,0,63,63,63,5,typical,k,
red,blue,4,0,64,64,64,5,typical,f,
green,blue,6,0,65,65,65,5,typical,f,
red,blue,4,0,66,66,66,5,typical,f,
green,red,2,0,67,67,67,5,typical,d,
yellow,blue,7,0,68,68,68,5,typical,f,
red,red,0,0,69,69,69,5,typical,d,
yellow,blue,7,0,70,70,70,5,typical,f,
red,blue,4,0,71,71,71,5,typical,f,
yellow,blue,7,0,72,72,72,5,typical,f,
red,blue,4,0,73,73,73,5,typical,f,
red,red,0,0,74,74,74,5,typical,d,
green,red,2,0,75,75,75,5,typical,d,
yellow,yellow,15,0,76,76,76,5,typical,k,
yellow,green,11,0,77,77,77,5,typical,j,
yellow,red,3,0,78,78,78,5,typical,d,
green,yellow,14,0,79,79,79,5,typical,k,
blue,red,1,0,0,0,0,6,atypical,f,
blue,yellow,13,0,1,1,1,6,atypical,f,
red,green,8,0,2,2,2,6,atypical,d,
red,blue,4,0,3,3,3,6,atypical,d,
red,yellow,12,0,4,4,4,6,atypical,d,
green,green,10,0,5,5,5,6,atypical,j,
green,blue,6,0,6,6,6,6,atypical,j,
blue,blue,5,0,7,7,7,6,atypical,f,
green,red,2,0,8,8,8,6,atypical,j,
yellow,red,3,0,9,9,9,6,atypical,k,
green,yellow,14,0,10,10,10,6,atypical,j,
red,blue,4,0,11,11,11,6,atypical,d,
yellow,blue,7,0,12,12,12,6,atypical,k,
red,green,8,0,13,13,13,6,atypical,d,
green,green,10,0,14,14,14,6,atypical,j,
blue,green,9,0,15,15,15,6,atypical,f,
yellow,green,11,0,16,16,16,6,atypical,k,
green,blue,6,0,17,17,17,6,atypical,j,
yellow,yellow,15,0,18,18,18,6,atypical,k,
blue,green,9,0,19,19,19,6,atypical,f,
blue,blue,5,0,20,20,20,6,atypical,f,
red,yellow,12,0,21,21,21,6,atypical,d,
red,blue,4,0,22,22,22,6,atypical,d,
red,green,8,0,23,23,23,6,atypical,d,
yellow,blue,7,0,24,24,24,6,atypical,k,
yellow,red,3,0,25,25,25,6,atypical,k,
yellow,green,11,0,26,26,26,6,atypical,k,
blue,blue,5,0,27,27,27,6,atypical,f,
yellow,green,11,0,28,28,28,6,atypical,k,
red,blue,4,0,29,29,29,6,atypical,d,
blue,yellow,13,0,30,30,30,6,atypical,f,
green,green,10,0,31,31,31,6,atypical,j,
blue,yellow,13,0,32,32,32,6,atypical,f,
blue,green,9,0,33,33,33,6,atypical,f,
green,blue,6,0,34,34,34,6,atypical,j,
yellow,red,3,0,35,35,35,6,atypical,k,
yellow,blue,7,0,36,36,36,6,atypical,k,
green,green,10,0,37,37,37,6,atypical,j,
blue,blue,5,0,38,38,38,6,atypical,f,
green,red,2,0,39,39,39,6,atypical,j,
blue,green,9,0,40,40,40,6,atypical,f,
yellow,green,11,0,41,41,41,6,atypical,k,
green,yellow,14,0,42,42,42,6,atypical,j,
blue,yellow,13,0,43,43,43,6,atypical,f,
blue,red,1,0,44,44,44,6,atypical,f,
yellow,green,11,0,45,45,45,6,atypical,k,
red,red,0,0,46,46,46,6,atypical,d,
blue,red,1,0,47,47,47,6,atypical,f,
green,blue,6,0,48,48,48,6,atypical,j,
red,yellow,12,0,49,49,49,6,atypical,d,
red,green,8,0,50,50,50,6,atypical,d,
green,blue,6,0,51,51,51,6,atypical,j,
blue,green,9,0,52,52,52,6,atypical,f,
red,red,0,0,53,53,53,6,atypical,d,
yellow,red,3,0,54,54,54,6,atypical,k,
red,blue,4,0,55,55,55,6,atypical,d,
red,red,0,0,56,56,56,6,atypical,d,
red,yellow,12,0,57,57,57,6,atypical,d,
yellow,red,3,0,58,58,58,6,atypical,k,
blue,red,1,0,59,59,59,6,atypical,f,
red,red,0,0,60,60,60,6,atypical,d,
green,red,2,0,61,61,61,6,atypical,j,
blue,blue,5,0,62,62,62,6,atypical,f,
yellow,yellow,15,0,63,63,63,6,atypical,k,
green,yellow,14,0,64,64,64,6,atypical,j,
blue,red,1,0,65,65,65,6,atypical,f,
red,green,8,0,66,66,66,6,atypical,d,
red,yellow,12,0,67,67,67,6,atypical,d,
green,yellow,14,0,68,68,68,6,atypical,j,
yellow,yellow,15,0,69,69,69,6,atypical,k,
yellow,blue,7,0,70,70,70,6,atypical,k,
green,yellow,14,0,71,71,71,6,atypical,j,
red,red,0,0,72,72,72,6,atypical,d,
green,red,2,0,73,73,73,6,atypical,j,
green,green,10,0,74,74,74,6,atypical,j,
yellow,yellow,15,0,75,75,75,6,atypical,k,
blue,yellow,13,0,76,76,76,6,atypical,f,
yellow,yellow,15,0,77,77,77,6,atypical,k,
yellow,blue,7,0,78,78,78,6,atypical,k,
green,red,2,0,79,79,79,6,atypical,j,
yellow,yellow,15,0,0,0,0,7,typical,k,
green,red,2,0,1,1,1,7,typical,d,
yellow,blue,7,0,2,2,2,7,typical,f,
red,yellow,12,0,3,3,3,7,typical,k,
green,yellow,14,0,4,4,4,7,typical,k,
yellow,blue,7,0,5,5,5,7,typical,f,
yellow,green,11,0,6,6,6,7,typical,j,
yellow,yellow,15,0,7,7,7,7,typical,k,
green,green,10,0,8,8,8,7,typical,j,
yellow,red,3,0,9,9,9,7,typical,d,
blue,green,9,0,10,10,10,7,typical,j,
red,green,8,0,11,11,11,7,typical,j,
blue,blue,5,0,12,12,12,7,typical,f,
blue,yellow,13,0,13,13,13,7,typical,k,
yellow,green,11,0,14,14,14,7,typical,j,
green,green,10,0,15,15,15,7,typical,j,
blue,green,9,0,16,16,16,7,typical,j,
red,green,8,0,17,17,17,7,typical,j,
yellow,yellow,15,0,18,18,18,7,typical,k,
yellow,blue,7,0,19,19,19,7,typical,f,
red,blue,4,0,20,20,20,7,typical,f,
red,green,8,0,21,21,21,7,typical,j,
red,yellow,12,0,22,22,22,7,typical,k,
green,yellow,14,0,23,23,23,7,typical,k,
green,red,2,0,24,24,24,7,typical,d,
red,red,0,0,25,25,25,7,typical,d,
green,green,10,0,26,26,26,7,typical,j,
green,red,2,0,27,27,27,7,typical,d,
yellow,green,11,0,28,28,28,7,typical,j,
green,blue,6,0,29,29,29,7,typical,f,
green,green,10,0,30,30,30,7,typical,j,
blue,yellow,13,0,31,31,31,7,typical,k,
red,red,0,0,32,32,32,7,typical,d,
yellow,red,3,0,33,33,33,7,typical,d,
blue,blue,5,0,34,34,34,7,typical,f,
red,red,0,0,35,35,35,7,typical,d,
blue,red,1,0,36,36,36,7,typical,d,
green,blue,6,0,37,37,37,7,typical,f,
blue,yellow,13,0,38,38,38,7,typical,k,
green,red,2,0,39,39,39,7,typical,d,
blue,yellow,13,0,40,40,40,7,typical,k,
blue,green,9,0,41,41,41,7,typical,j,
green,blue,6,0,42,42,42,7,typical,f,
red,red,0,0,43,43,43,7,typical,d,
green,blue,6,0,44,44,44,7,typical,f,
blue,green,9,0,45,45,45,7,typical,j,
yellow,yellow,15,0,46,46,46,7,typical,k,
green,blue,6,0,47,47,47,7,typical,f,
blue,red,1,0,48,48,48,7,typical,d,
green,red,2,0,49,49,49,7,typical,d,
blue,blue,5,0,50,50,50,7,typical,f,
red,red,0,0,51,51,51,7,typical,d,
red,yellow,12,0,52,52,52,7,typical,k,
yellow,green,11,0,53,53,53,7,typical,j,
green,yellow,14,0,54,54,54,7,typical,k,
blue,blue,5,0,55,55,55,7,typical,f,
blue,red,1,0,56,56,56,7,typical,d,
red,green,8,0,57,57,57,7,typical,j,
yellow,yellow,15,0,58,58,58,7,typical,k,
blue,red,1,0,59,59,59,7,typical,d,
red,blue,4,0,60,60,60,7,typical,f,
yellow,blue,7,0,61,61,61,7,typical,f,
yellow,red,3,0,62,62,62,7,typical,d,
green,green,10,0,63,63,63,7,typical,j,
yellow,blue,7,0,64,64,64,7,typical,f,
red,yellow,12,0,65,65,65,7,typical,k,
red,blue,4,0,66,66,66,7,typical,f,
green,yellow,14,0,67,67,67,7,typical,k,
red,blue,4,0,68,68,68,7,typical,f,
blue,blue,5,0,69,69,69,7,typical,f,
blue,red,1,0,70,70,70,7,typical,d,
green,yellow,14,0,71,71,71,7,typical,k,
red,yellow,12,0,72,72,72,7,typical,k,
yellow,red,3,0,73,73,73,7,typical,d,
blue,yellow,13,0,74,74,74,7,typical,k,
red,blue,4,0,75,75,75,7,typical,f,
blue,green,9,0,76,76,76,7,typical,j,
red,green,8,0,77,77,77,7,typical,j,
yellow,red,3,0,78,78,78,7,typical,d,
yellow,green,11,0,79,79,79,7,typical,j,
blue,red,1,0,0,0,0,8,atypical,f,
red,blue,4,0,1,1,1,8,atypical,d,
blue,yellow,13,0,2,2,2,8,atypical,f,
green,yellow,14,0,3,3,3,8,atypical,j,
green,blue,6,0,4,4,4,8,atypical,j,
blue,green,9,0,5,5,5,8,atypical,f,
green,green,10,0,6,6,6,8,atypical,j,
red,yellow,12,0,7,7,7,8,atypical,d,
green,red,2,0,8,8,8,8,atypical,j,
yellow,red,3,0,9,9,9,8,atypical,k,
yellow,yellow,15,0,10,10,10,8,atypical,k,
blue,blue,5,0,11,11,11,8,atypical,f,
yellow,red,3,0,12,12,12,8,atypical,k,
blue,red,1,0,13,13,13,8,atypical,f,
red,red,0,0,14,14,14,8,atypical,d,
red,green,8,0,15,15,15,8,atypical,d,
green,blue,6,0,16,16,16,8,atypical,j,
blue,green,9,0,17,17,17,8,atypical,f,
red,yellow,12,0,18,18,18,8,atypical,d,
green,yellow,14,0,19,19,19,8,atypical,j,
