ColorWord,FontColor,Block
blue,blue,3
red,blue,3
green,red,3
blue,blue,3
yellow,yellow,3
blue,yellow,3
green,blue,3
green,red,3
green,yellow,3
green,green,3
blue,yellow,3
blue,red,3
red,red,3
blue,red,3
red,green,3
yellow,red,3
green,yellow,3
yellow,green,3
red,green,3
yellow,green,3
yellow,yellow,3
yellow,yellow,3
green,blue,3
blue,green,3
yellow,red,3
blue,green,3
blue,blue,3
green,blue,3
green,red,3
blue,green,3
green,green,3
red,yellow,3
blue,red,3
yellow,green,3
red,green,3
yellow,blue,3
yellow,blue,3
red,blue,3
green,green,3
red,yellow,3
blue,blue,3
red,yellow,3
blue,red,3
blue,green,3
yellow,red,3
red,green,3
blue,blue,3
green,green,3
yellow,blue,3
blue,yellow,3
green,yellow,3
red,green,3
yellow,green,3
red,red,3
red,blue,3
red,blue,3
green,blue,3
red,red,3
yellow,red,3
blue,yellow,3
green,red,3
blue,green,3
red,blue,3
red,red,3
red,yellow,3
blue,red,3
yellow,yellow,3
yellow,blue,3
green,green,3
blue,yellow,3
yellow,blue,3
green,red,3
red,red,3
blue,blue,4
red,blue,4
red,blue,4
yellow,yellow,4
red,yellow,4
blue,red,4
red,yellow,4
blue,yellow,4
blue,green,4
green,red,4
green,yellow,4
red,red,4
green,yellow,4
yellow,green,4
red,blue,4
yellow,blue,4
green,green,4
blue,yellow,4
blue,blue,4
yellow,blue,4
red,red,4
green,green,4
green,red,4
yellow,green,4
yellow,blue,4
red,red,4
yellow,yellow,4
yellow,red,4
red,yellow,4
red,green,4
red,yellow,4
green,green,4
blue,green,4
blue,blue,4
yellow,red,4
green,blue,4
blue,green,4
blue,red,4
yellow,green,4
yellow,yellow,4
blue,yellow,4
blue,blue,4
blue,green,4
blue,green,4
green,blue,4
yellow,green,4
red,blue,4
yellow,green,4
red,green,4
green,blue,4
red,green,4
blue,yellow,4
green,red,4
yellow,red,4
blue,red,4
green,yellow,4
green,red,4
red,red,4
yellow,blue,4
red,green,4
green,blue,4
blue,red,4
green,blue,4
blue,red,4
red,red,4
red,blue,4
green,red,4
yellow,yellow,4
green,green,4
yellow,yellow,4
blue,blue,4
yellow,red,4
yellow,blue,4
red,green,4
green,green,4
green,yellow,4
red,yellow,4
green,yellow,4
yellow,red,4
blue,yellow,4
green,red,5
blue,red,5
red,green,5
red,red,5
blue,blue,5
blue,blue,5
red,yellow,5
red,yellow,5
red,yellow,5
blue,red,5
blue,yellow,5
yellow,yellow,5
yellow,green,5
yellow,red,5
red,green,5
red,yellow,5
green,green,5
red,blue,5
red,red,5
yellow,blue,5
yellow,yellow,5
green,yellow,5
red,red,5
green,green,5
red,green,5
yellow,red,5
green,red,5
red,blue,5
yellow,yellow,5
yellow,yellow,5
yellow,green,5
green,yellow,5
green,red,5
green,green,5
blue,green,5
yellow,blue,5
green,blue,5
yellow,green,5
blue,red,5
green,green,5
red,red,5
green,green,5
red,blue,5
red,green,5
green,blue,5
green,yellow,5
red,yellow,5
green,blue,5
blue,yellow,5
yellow,red,5
red,green,5
yellow,green,5
blue,green,5
blue,red,5
blue,yellow,5
yellow,blue,5
blue,blue,5
blue,blue,5
blue,green,5
blue,blue,5
blue,yellow,5
green,blue,5
red,blue,5
green,yellow,5
yellow,blue,5
yellow,green,5
yellow,red,5
yellow,blue,5
yellow,yellow,5
green,yellow,5
blue,red,5
red,blue,5
green,red,5
blue,yellow,5
blue,green,5
blue,green,5
green,blue,5
green,red,5
yellow,red,5
red,red,5
blue,yellow,6
blue,blue,6
green,yellow,6
red,green,6
red,red,6
yellow,yellow,6
green,red,6
blue,red,6
blue,red,6
yellow,yellow,6
blue,red,6
red,red,6
yellow,blue,6
yellow,red,6
yellow,green,6
green,green,6
green,red,6
green,green,6
yellow,red,6
green,red,6
red,green,6
green,yellow,6
yellow,green,6
red,yellow,6
yellow,blue,6
green,green,6
blue,blue,6
green,green,6
yellow,yellow,6
yellow,red,6
blue,green,6
red,yellow,6
blue,green,6
red,yellow,6
red,green,6
blue,green,6
red,green,6
green,blue,6
blue,blue,6
red,blue,6
yellow,green,6
green,green,6
yellow,red,6
green,yellow,6
yellow,red,6
blue,red,6
yellow,blue,6
blue,green,6
red,red,6
blue,yellow,6
red,blue,6
blue,yellow,6
blue,green,6
blue,blue,6
red,blue,6
yellow,yellow,6
yellow,blue,6
green,yellow,6
yellow,yellow,6
blue,yellow,6
red,blue,6
green,red,6
green,blue,6
green,blue,6
red,red,6
red,red,6
red,yellow,6
yellow,green,6
yellow,green,6
green,blue,6
green,blue,6
blue,red,6
red,green,6
green,yellow,6
blue,yellow,6
red,blue,6
green,red,6
red,yellow,6
yellow,blue,6
blue,blue,6
yellow,green,7
blue,green,7
blue,blue,7
blue,green,7
yellow,green,7
blue,red,7
blue,red,7
green,yellow,7
blue,blue,7
red,blue,7
red,red,7
blue,blue,7
red,yellow,7
green,yellow,7
green,red,7
blue,yellow,7
blue,red,7
yellow,blue,7
blue,blue,7
yellow,green,7
blue,yellow,7
red,green,7
green,blue,7
blue,yellow,7
red,blue,7
red,green,7
green,red,7
blue,yellow,7
red,red,7
green,green,7
green,blue,7
red,red,7
red,yellow,7
green,yellow,7
green,red,7
yellow,blue,7
yellow,red,7
yellow,red,7
blue,red,7
blue,green,7
blue,green,7
green,green,7
yellow,yellow,7
yellow,red,7
blue,red,7
green,green,7
red,green,7
yellow,yellow,7
blue,green,7
blue,blue,7
yellow,red,7
green,blue,7
red,yellow,7
green,red,7
yellow,blue,7
yellow,green,7
red,blue,7
green,red,7
yellow,green,7
green,blue,7
green,yellow,7
blue,yellow,7
red,yellow,7
red,red,7
yellow,yellow,7
green,yellow,7
yellow,yellow,7
red,green,7
red,blue,7
red,yellow,7
green,green,7
green,blue,7
green,green,7
yellow,blue,7
red,red,7
red,blue,7
red,green,7
yellow,blue,7
yellow,yellow,7
yellow,red,7
yellow,green,8
yellow,red,8
blue,yellow,8
red,blue,8
red,red,8
blue,red,8
red,yellow,8
blue,yellow,8
red,yellow,8
green,yellow,8
green,blue,8
yellow,blue,8
blue,green,8
yellow,red,8
yellow,blue,8
blue,blue,8
yellow,yellow,8
yellow,green,8
green,yellow,8
red,red,8
red,yellow,8
green,green,8
yellow,blue,8
green,red,8
green,green,8
blue,yellow,8
blue,red,8
red,red,8
blue,green,8
green,red,8
yellow,blue,8
red,green,8
red,green,8
blue,blue,8
green,blue,8
red,red,8
yellow,yellow,8
yellow,green,8
blue,blue,8
green,green,8
blue,red,8
red,blue,8
blue,red,8
green,blue,8
blue,yellow,8
red,green,8
green,yellow,8
green,blue,8
blue,green,8
blue,green,8
green,blue,8
green,red,8
blue,green,8
yellow,red,8
blue,yellow,8
red,red,8
green,yellow,8
yellow,yellow,8
red,yellow,8
yellow,green,8
red,blue,8
red,yellow,8
yellow,yellow,8
green,green,8
yellow,red,8
yellow,red,8
yellow,yellow,8
red,blue,8
blue,red,8
green,yellow,8
green,red,8
blue,blue,8
yellow,green,8
green,green,8
yellow,blue,8
red,green,8
blue,blue,8
red,green,8
green,red,8
red,blue,8
blue,red,9
red,red,9
blue,blue,9
red,green,9
yellow,green,9
blue,red,9
red,yellow,9
red,green,9
blue,yellow,9
green,red,9
yellow,yellow,9
yellow,green,9
green,blue,9
red,green,9
green,red,9
yellow,green,9
yellow,yellow,9
yellow,green,9
red,blue,9
green,blue,9
yellow,blue,9
yellow,red,9
red,blue,9
red,red,9
green,yellow,9
green,blue,9
yellow,red,9
blue,blue,9
blue,blue,9
yellow,red,9
blue,yellow,9
yellow,yellow,9
blue,yellow,9
red,yellow,9
red,yellow,9
blue,green,9
green,green,9
green,red,9
yellow,green,9
red,blue,9
blue,blue,9
yellow,blue,9
green,red,9
green,yellow,9
green,green,9
blue,red,9
blue,green,9
blue,red,9
yellow,red,9
green,yellow,9
yellow,red,9
green,yellow,9
blue,yellow,9
blue,blue,9
yellow,yellow,9
yellow,yellow,9
green,red,9
blue,green,9
blue,green,9
red,red,9
red,blue,9
blue,red,9
green,green,9
yellow,blue,9
green,green,9
red,yellow,9
yellow,blue,9
red,green,9
red,green,9
red,red,9
blue,green,9
green,blue,9
red,red,9
yellow,blue,9
red,yellow,9
red,blue,9
blue,yellow,9
green,blue,9
green,green,9
green,yellow,9
red,yellow,10
yellow,red,10
green,blue,10
blue,red,10
green,yellow,10
blue,red,10
green,red,10
yellow,blue,10
green,red,10
red,red,10
blue,green,10
yellow,yellow,10
blue,red,10
blue,yellow,10
red,blue,10
yellow,blue,10
blue,yellow,10
green,red,10
red,blue,10
blue,green,10
green,yellow,10
blue,green,10
red,yellow,10
green,green,10
red,red,10
green,green,10
red,green,10
yellow,yellow,10
green,blue,10
red,green,10
yellow,green,10
blue,yellow,10
blue,green,10
red,blue,10
yellow,green,10
red,green,10
blue,red,10
red,green,10
red,red,10
yellow,red,10
yellow,blue,10
red,blue,10
blue,blue,10
blue,yellow,10
yellow,green,10
red,green,10
yellow,red,10
yellow,green,10
red,red,10
red,red,10
blue,blue,10
green,yellow,10
blue,yellow,10
blue,blue,10
yellow,yellow,10
red,blue,10
yellow,yellow,10
yellow,green,10
yellow,blue,10
green,yellow,10
yellow,blue,10
green,green,10
blue,blue,10
blue,blue,10
green,blue,10
yellow,red,10
blue,green,10
blue,red,10
green,green,10
red,yellow,10
green,red,10
yellow,yellow,10
yellow,red,10
red,yellow,10
green,red,10
green,green,10
red,yellow,10
green,blue,10
green,blue,10
green,yellow,10
