ColorWord,FontColor,.thisRepN,.thisTrialN,.thisN,.thisIndex,Block,Instruction,CorAns,
green,yellow,4,9,73,14,2,atypical,j,
red,red,4,10,74,0,2,atypical,d,
green,blue,4,11,75,6,2,atypical,j,
blue,green,4,12,76,9,2,atypical,f,
blue,green,4,13,77,9,2,atypical,f,
yellow,blue,4,14,78,7,2,atypical,k,
red,blue,4,15,79,4,2,atypical,d,
green,blue,0,0,0,6,3,typical,f,
red,green,0,1,1,8,3,typical,j,
yellow,green,0,2,2,11,3,typical,j,
yellow,yellow,0,3,3,15,3,typical,k,
yellow,red,0,4,4,3,3,typical,d,
green,yellow,0,5,5,14,3,typical,k,
blue,yellow,0,6,6,13,3,typical,k,
red,green,0,7,7,8,3,typical,j,
blue,red,0,8,8,1,3,typical,d,
green,red,0,9,9,2,3,typical,d,
yellow,yellow,0,10,10,15,3,typical,k,
red,green,0,11,11,8,3,typical,j,
green,blue,0,12,12,6,3,typical,f,
yellow,green,0,13,13,11,3,typical,j,
yellow,blue,0,14,14,7,3,typical,f,
green,yellow,0,15,15,14,3,typical,k,
blue,red,1,0,16,1,3,typical,d,
blue,green,1,1,17,9,3,typical,j,
yellow,red,1,2,18,3,3,typical,d,
red,yellow,1,3,19,12,3,typical,k,
red,yellow,1,4,20,12,3,typical,k,
green,green,1,5,21,10,3,typical,j,
green,red,1,6,22,2,3,typical,d,
yellow,red,1,7,23,3,3,typical,d,
blue,red,1,8,24,1,3,typical,d,
yellow,green,1,9,25,11,3,typical,j,
red,blue,1,10,26,4,3,typical,f,
red,green,1,11,27,8,3,typical,j,
yellow,blue,1,12,28,7,3,typical,f,
blue,blue,1,13,29,5,3,typical,f,
green,red,1,14,30,2,3,typical,d,
green,green,1,15,31,10,3,typical,j,
yellow,blue,2,0,32,7,3,typical,f,
blue,yellow,2,1,33,13,3,typical,k,
red,blue,2,2,34,4,3,typical,f,
blue,blue,2,3,35,5,3,typical,f,
yellow,green,2,4,36,11,3,typical,j,
red,yellow,2,5,37,12,3,typical,k,
yellow,red,2,6,38,3,3,typical,d,
blue,green,2,7,39,9,3,typical,j,
green,green,2,8,40,10,3,typical,j,
yellow,yellow,2,9,41,15,3,typical,k,
green,yellow,2,10,42,14,3,typical,k,
green,green,2,11,43,10,3,typical,j,
red,blue,2,12,44,4,3,typical,f,
yellow,yellow,2,13,45,15,3,typical,k,
red,red,2,14,46,0,3,typical,d,
green,red,2,15,47,2,3,typical,d,
blue,yellow,3,0,48,13,3,typical,k,
green,yellow,3,1,49,14,3,typical,k,
blue,red,3,2,50,1,3,typical,d,
blue,green,3,3,51,9,3,typical,j,
blue,blue,3,4,52,5,3,typical,f,
blue,green,3,5,53,9,3,typical,j,
blue,blue,3,6,54,5,3,typical,f,
red,yellow,3,7,55,12,3,typical,k,
blue,blue,3,8,56,5,3,typical,f,
yellow,blue,3,9,57,7,3,typical,f,
red,green,3,10,58,8,3,typical,j,
red,red,3,11,59,0,3,typical,d,
green,blue,3,12,60,6,3,typical,f,
green,blue,3,13,61,6,3,typical,f,
blue,yellow,3,14,62,13,3,typical,k,
yellow,red,3,15,63,3,3,typical,d,
green,blue,4,0,64,6,3,typical,f,
red,yellow,4,1,65,12,3,typical,k,
blue,green,4,2,66,9,3,typical,j,
yellow,blue,4,3,67,7,3,typical,f,
blue,yellow,4,4,68,13,3,typical,k,
red,blue,4,5,69,4,3,typical,f,
yellow,yellow,4,6,70,15,3,typical,k,
red,red,4,7,71,0,3,typical,d,
green,yellow,4,8,72,14,3,typical,k,
green,green,4,9,73,10,3,typical,j,
yellow,green,4,10,74,11,3,typical,j,
red,red,4,11,75,0,3,typical,d,
green,red,4,12,76,2,3,typical,d,
blue,red,4,13,77,1,3,typical,d,
red,red,4,14,78,0,3,typical,d,
red,blue,4,15,79,4,3,typical,f,
blue,yellow,0,0,0,13,4,atypical,f,
blue,blue,0,1,1,5,4,atypical,f,
green,green,0,2,2,10,4,atypical,j,
green,yellow,0,3,3,14,4,atypical,j,
red,blue,0,4,4,4,4,atypical,d,
green,blue,0,5,5,6,4,atypical,j,
green,yellow,0,6,6,14,4,atypical,j,
green,blue,0,7,7,6,4,atypical,j,
yellow,red,0,8,8,3,4,atypical,k,
red,yellow,0,9,9,12,4,atypical,d,
red,blue,0,10,10,4,4,atypical,d,
yellow,green,0,11,11,11,4,atypical,k,
red,green,0,12,12,8,4,atypical,d,
yellow,blue,0,13,13,7,4,atypical,k,
red,red,0,14,14,0,4,atypical,d,
blue,green,0,15,15,9,4,atypical,f,
yellow,red,1,0,16,3,4,atypical,k,
green,yellow,1,1,17,14,4,atypical,j,
yellow,yellow,1,2,18,15,4,atypical,k,
green,red,1,3,19,2,4,atypical,j,
blue,green,1,4,20,9,4,atypical,f,
blue,yellow,1,5,21,13,4,atypical,f,
green,green,1,6,22,10,4,atypical,j,
red,blue,1,7,23,4,4,atypical,d,
red,red,1,8,24,0,4,atypical,d,
green,blue,1,9,25,6,4,atypical,j,
yellow,blue,1,10,26,7,4,atypical,k,
green,green,1,11,27,10,4,atypical,j,
red,yellow,1,12,28,12,4,atypical,d,
blue,red,1,13,29,1,4,atypical,f,
blue,red,1,14,30,1,4,atypical,f,
blue,yellow,1,15,31,13,4,atypical,f,
green,red,2,0,32,2,4,atypical,j,
red,blue,2,1,33,4,4,atypical,d,
yellow,green,2,2,34,11,4,atypical,k,
blue,green,2,3,35,9,4,atypical,f,
yellow,yellow,2,4,36,15,4,atypical,k,
yellow,green,2,5,37,11,4,atypical,k,
blue,yellow,2,6,38,13,4,atypical,f,
yellow,blue,2,7,39,7,4,atypical,k,
blue,red,2,8,40,1,4,atypical,f,
blue,blue,2,9,41,5,4,atypical,f,
blue,red,2,10,42,1,4,atypical,f,
red,yellow,2,11,43,12,4,atypical,d,
yellow,red,2,12,44,3,4,atypical,k,
red,yellow,2,13,45,12,4,atypical,d,
red,red,2,14,46,0,4,atypical,d,
blue,blue,2,15,47,5,4,atypical,f,
red,yellow,3,0,48,12,4,atypical,d,
yellow,yellow,3,1,49,15,4,atypical,k,
green,red,3,2,50,2,4,atypical,j,
yellow,red,3,3,51,3,4,atypical,k,
blue,green,3,4,52,9,4,atypical,f,
green,red,3,5,53,2,4,atypical,j,
yellow,blue,3,6,54,7,4,atypical,k,
red,green,3,7,55,8,4,atypical,d,
yellow,blue,3,8,56,7,4,atypical,k,
yellow,red,3,9,57,3,4,atypical,k,
red,red,3,10,58,0,4,atypical,d,
green,yellow,3,11,59,14,4,atypical,j,
yellow,yellow,3,12,60,15,4,atypical,k,
yellow,yellow,3,13,61,15,4,atypical,k,
red,green,3,14,62,8,4,atypical,d,
yellow,green,3,15,63,11,4,atypical,k,
blue,blue,4,0,64,5,4,atypical,f,
green,blue,4,1,65,6,4,atypical,j,
red,blue,4,2,66,4,4,atypical,d,
red,red,4,3,67,0,4,atypical,d,
green,red,4,4,68,2,4,atypical,j,
blue,blue,4,5,69,5,4,atypical,f,
blue,red,4,6,70,1,4,atypical,f,
blue,yellow,4,7,71,13,4,atypical,f,
red,green,4,8,72,8,4,atypical,d,
red,green,4,9,73,8,4,atypical,d,
green,blue,4,10,74,6,4,atypical,j,
yellow,green,4,11,75,11,4,atypical,k,
green,green,4,12,76,10,4,atypical,j,
blue,green,4,13,77,9,4,atypical,f,
green,yellow,4,14,78,14,4,atypical,j,
green,green,4,15,79,10,4,atypical,j,
yellow,yellow,0,0,0,15,5,typical,k,
red,yellow,0,1,1,12,5,typical,k,
green,yellow,0,2,2,14,5,typical,k,
green,blue,0,3,3,6,5,typical,f,
green,blue,0,4,4,6,5,typical,f,
red,blue,0,5,5,4,5,typical,f,
blue,blue,0,6,6,5,5,typical,f,
red,green,0,7,7,8,5,typical,j,
blue,blue,0,8,8,5,5,typical,f,
blue,green,0,9,9,9,5,typical,j,
blue,green,0,10,10,9,5,typical,j,
red,yellow,0,11,11,12,5,typical,k,
yellow,yellow,0,12,12,15,5,typical,k,
yellow,green,0,13,13,11,5,typical,j,
blue,red,0,14,14,1,5,typical,d,
yellow,yellow,0,15,15,15,5,typical,k,
yellow,red,1,0,16,3,5,typical,d,
red,green,1,1,17,8,5,typical,j,
yellow,green,1,2,18,11,5,typical,j,
green,red,1,3,19,2,5,typical,d,
yellow,red,1,4,20,3,5,typical,d,
yellow,yellow,1,5,21,15,5,typical,k,
blue,yellow,1,6,22,13,5,typical,k,
blue,blue,1,7,23,5,5,typical,f,
blue,red,1,8,24,1,5,typical,d,
blue,green,1,9,25,9,5,typical,j,
yellow,blue,1,10,26,7,5,typical,f,
green,yellow,1,11,27,14,5,typical,k,
blue,yellow,1,12,28,13,5,typical,k,
blue,green,1,13,29,9,5,typical,j,
red,yellow,1,14,30,12,5,typical,k,
yellow,blue,1,15,31,7,5,typical,f,
red,green,2,0,32,8,5,typical,j,
blue,yellow,2,1,33,13,5,typical,k,
yellow,red,2,2,34,3,5,typical,d,
red,yellow,2,3,35,12,5,typical,k,
red,red,2,4,36,0,5,typical,d,
yellow,blue,2,5,37,7,5,typical,f,
blue,blue,2,6,38,5,5,typical,f,
green,blue,2,7,39,6,5,typical,f,
yellow,yellow,2,8,40,15,5,typical,k,
blue,blue,2,9,41,5,5,typical,f,
green,red,2,10,42,2,5,typical,d,
red,red,2,11,43,0,5,typical,d,
green,yellow,2,12,44,14,5,typical,k,
red,red,2,13,45,0,5,typical,d,
yellow,green,2,14,46,11,5,typical,j,
blue,yellow,2,15,47,13,5,typical,k,
green,red,3,0,48,2,5,typical,d,
yellow,red,3,1,49,3,5,typical,d,
green,yellow,3,2,50,14,5,typical,k,
green,blue,3,3,51,6,5,typical,f,
yellow,red,3,4,52,3,5,typical,d,
green,yellow,3,5,53,14,5,typical,k,
blue,red,3,6,54,1,5,typical,d,
red,red,3,7,55,0,5,typical,d,
yellow,green,3,8,56,11,5,typical,j,
red,green,3,9,57,8,5,typical,j,
yellow,blue,3,10,58,7,5,typical,f,
green,green,3,11,59,10,5,typical,j,
blue,red,3,12,60,1,5,typical,d,
green,red,3,13,61,2,5,typical,d,
green,green,3,14,62,10,5,typical,j,
green,green,3,15,63,10,5,typical,j,
green,red,4,0,64,2,5,typical,d,
red,blue,4,1,65,4,5,typical,f,
blue,green,4,2,66,9,5,typical,j,
red,green,4,3,67,8,5,typical,j,
red,blue,4,4,68,4,5,typical,f,
blue,yellow,4,5,69,13,5,typical,k,
yellow,green,4,6,70,11,5,typical,j,
red,yellow,4,7,71,12,5,typical,k,
green,green,4,8,72,10,5,typical,j,
blue,red,4,9,73,1,5,typical,d,
red,blue,4,10,74,4,5,typical,f,
red,red,4,11,75,0,5,typical,d,
green,blue,4,12,76,6,5,typical,f,
green,green,4,13,77,10,5,typical,j,
red,blue,4,14,78,4,5,typical,f,
yellow,blue,4,15,79,7,5,typical,f,
yellow,yellow,0,0,0,15,6,atypical,k,
yellow,yellow,0,1,1,15,6,atypical,k,
blue,green,0,2,2,9,6,atypical,f,
green,red,0,3,3,2,6,atypical,j,
green,green,0,4,4,10,6,atypical,j,
yellow,yellow,0,5,5,15,6,atypical,k,
green,blue,0,6,6,6,6,atypical,j,
blue,green,0,7,7,9,6,atypical,f,
blue,red,0,8,8,1,6,atypical,f,
yellow,green,0,9,9,11,6,atypical,k,
blue,yellow,0,10,10,13,6,atypical,f,
green,blue,0,11,11,6,6,atypical,j,
yellow,red,0,12,12,3,6,atypical,k,
yellow,green,0,13,13,11,6,atypical,k,
green,yellow,0,14,14,14,6,atypical,j,
red,yellow,0,15,15,12,6,atypical,d,
red,blue,1,0,16,4,6,atypical,d,
blue,red,1,1,17,1,6,atypical,f,
yellow,green,1,2,18,11,6,atypical,k,
red,red,1,3,19,0,6,atypical,d,
blue,blue,1,4,20,5,6,atypical,f,
yellow,red,1,5,21,3,6,atypical,k,
green,red,1,6,22,2,6,atypical,j,
green,yellow,1,7,23,14,6,atypical,j,
red,red,1,8,24,0,6,atypical,d,
blue,yellow,1,9,25,13,6,atypical,f,
red,yellow,1,10,26,12,6,atypical,d,
red,red,1,11,27,0,6,atypical,d,
red,blue,1,12,28,4,6,atypical,d,
yellow,yellow,1,13,29,15,6,atypical,k,
blue,green,1,14,30,9,6,atypical,f,
yellow,green,1,15,31,11,6,atypical,k,
blue,blue,2,0,32,5,6,atypical,f,
blue,green,2,1,33,9,6,atypical,f,
yellow,red,2,2,34,3,6,atypical,k,
yellow,blue,2,3,35,7,6,atypical,k,
red,green,2,4,36,8,6,atypical,d,
yellow,red,2,5,37,3,6,atypical,k,
green,blue,2,6,38,6,6,atypical,j,
green,red,2,7,39,2,6,atypical,j,
blue,yellow,2,8,40,13,6,atypical,f,
blue,green,2,9,41,9,6,atypical,f,
blue,red,2,10,42,1,6,atypical,f,
yellow,yellow,2,11,43,15,6,atypical,k,
green,red,2,12,44,2,6,atypical,j,
red,green,2,13,45,8,6,atypical,d,
blue,blue,2,14,46,5,6,atypical,f,
yellow,blue,2,15,47,7,6,atypical,k,
yellow,blue,3,0,48,7,6,atypical,k,
blue,blue,3,1,49,5,6,atypical,f,
red,blue,3,2,50,4,6,atypical,d,
green,yellow,3,3,51,14,6,atypical,j,
green,blue,3,4,52,6,6,atypical,j,
red,blue,3,5,53,4,6,atypical,d,
red,blue,3,6,54,4,6,atypical,d,
red,green,3,7,55,8,6,atypical,d,
green,blue,3,8,56,6,6,atypical,j,
yellow,green,3,9,57,11,6,atypical,k,
blue,red,3,10,58,1,6,atypical,f,
red,green,3,11,59,8,6,atypical,d,
red,red,3,12,60,0,6,atypical,d,
green,green,3,13,61,10,6,atypical,j,
yellow,blue,3,14,62,7,6,atypical,k,
blue,blue,3,15,63,5,6,atypical,f,
green,yellow,4,0,64,14,6,atypical,j,
red,yellow,4,1,65,12,6,atypical,d,
green,red,4,2,66,2,6,atypical,j,
green,green,4,3,67,10,6,atypical,j,
yellow,red,4,4,68,3,6,atypical,k,
blue,red,4,5,69,1,6,atypical,f,
blue,yellow,4,6,70,13,6,atypical,f,
red,green,4,7,71,8,6,atypical,d,
blue,yellow,4,8,72,13,6,atypical,f,
green,green,4,9,73,10,6,atypical,j,
red,yellow,4,10,74,12,6,atypical,d,
green,yellow,4,11,75,14,6,atypical,j,
green,green,4,12,76,10,6,atypical,j,
red,yellow,4,13,77,12,6,atypical,d,
red,red,4,14,78,0,6,atypical,d,
yellow,blue,4,15,79,7,6,atypical,k,
red,green,0,0,0,8,7,typical,j,
blue,green,0,1,1,9,7,typical,j,
red,yellow,0,2,2,12,7,typical,k,
green,green,0,3,3,10,7,typical,j,
blue,blue,0,4,4,5,7,typical,f,
blue,red,0,5,5,1,7,typical,d,
yellow,green,0,6,6,11,7,typical,j,
green,blue,0,7,7,6,7,typical,f,
red,yellow,0,8,8,12,7,typical,k,
red,green,0,9,9,8,7,typical,j,
yellow,red,0,10,10,3,7,typical,d,
yellow,blue,0,11,11,7,7,typical,f,
red,blue,0,12,12,4,7,typical,f,
yellow,blue,0,13,13,7,7,typical,f,
blue,yellow,0,14,14,13,7,typical,k,
blue,red,0,15,15,1,7,typical,d,
green,blue,1,0,16,6,7,typical,f,
green,green,1,1,17,10,7,typical,j,
blue,green,1,2,18,9,7,typical,j,
red,red,1,3,19,0,7,typical,d,
green,red,1,4,20,2,7,typical,d,
green,blue,1,5,21,6,7,typical,f,
green,yellow,1,6,22,14,7,typical,k,
green,yellow,1,7,23,14,7,typical,k,
red,red,1,8,24,0,7,typical,d,
yellow,red,1,9,25,3,7,typical,d,
blue,yellow,1,10,26,13,7,typical,k,
blue,green,1,11,27,9,7,typical,j,
yellow,green,1,12,28,11,7,typical,j,
green,yellow,1,13,29,14,7,typical,k,
green,red,1,14,30,2,7,typical,d,
yellow,yellow,1,15,31,15,7,typical,k,
green,yellow,2,0,32,14,7,typical,k,
green,blue,2,1,33,6,7,typical,f,
green,red,2,2,34,2,7,typical,d,
green,green,2,3,35,10,7,typical,j,
blue,blue,2,4,36,5,7,typical,f,
red,green,2,5,37,8,7,typical,j,
red,yellow,2,6,38,12,7,typical,k,
yellow,green,2,7,39,11,7,typical,j,
blue,green,2,8,40,9,7,typical,j,
blue,yellow,2,9,41,13,7,typical,k,
blue,blue,2,10,42,5,7,typical,f,
green,green,2,11,43,10,7,typical,j,
red,yellow,2,12,44,12,7,typical,k,
red,red,2,13,45,0,7,typical,d,
yellow,yellow,2,14,46,15,7,typical,k,
red,blue,2,15,47,4,7,typical,f,
green,red,3,0,48,2,7,typical,d,
red,yellow,3,1,49,12,7,typical,k,
blue,red,3,2,50,1,7,typical,d,
yellow,blue,3,3,51,7,7,typical,f,
yellow,red,3,4,52,3,7,typical,d,
green,green,3,5,53,10,7,typical,j,
red,blue,3,6,54,4,7,typical,f,
yellow,yellow,3,7,55,15,7,typical,k,
blue,green,3,8,56,9,7,typical,j,
yellow,yellow,3,9,57,15,7,typical,k,
blue,yellow,3,10,58,13,7,typical,k,
blue,red,3,11,59,1,7,typical,d,
green,yellow,3,12,60,14,7,typical,k,
yellow,blue,3,13,61,7,7,typical,f,
yellow,green,3,14,62,11,7,typical,j,
red,blue,3,15,63,4,7,typical,f,
blue,yellow,4,0,64,13,7,typical,k,
yellow,yellow,4,1,65,15,7,typical,k,
yellow,red,4,2,66,3,7,typical,d,
yellow,red,4,3,67,3,7,typical,d,
red,green,4,4,68,8,7,typical,j,
yellow,green,4,5,69,11,7,typical,j,
blue,red,4,6,70,1,7,typical,d,
red,blue,4,7,71,4,7,typical,f,
yellow,blue,4,8,72,7,7,typical,f,
red,green,4,9,73,8,7,typical,j,
red,red,4,10,74,0,7,typical,d,
blue,blue,4,11,75,5,7,typical,f,
green,blue,4,12,76,6,7,typical,f,
red,red,4,13,77,0,7,typical,d,
blue,blue,4,14,78,5,7,typical,f,
green,red,4,15,79,2,7,typical,d,
blue,blue,0,0,0,5,8,atypical,f,
green,yellow,0,1,1,14,8,atypical,j,
green,blue,0,2,2,6,8,atypical,j,
yellow,yellow,0,3,3,15,8,atypical,k,
red,red,0,4,4,0,8,atypical,d,
blue,green,0,5,5,9,8,atypical,f,
blue,yellow,0,6,6,13,8,atypical,f,
red,green,0,7,7,8,8,atypical,d,
green,green,0,8,8,10,8,atypical,j,
yellow,yellow,0,9,9,15,8,atypical,k,
yellow,blue,0,10,10,7,8,atypical,k,
yellow,blue,0,11,11,7,8,atypical,k,
yellow,green,0,12,12,11,8,atypical,k,
green,yellow,0,13,13,14,8,atypical,j,
yellow,red,0,14,14,3,8,atypical,k,
yellow,green,0,15,15,11,8,atypical,k,
yellow,red,1,0,16,3,8,atypical,k,
red,yellow,1,1,17,12,8,atypical,d,
blue,blue,1,2,18,5,8,atypical,f,
blue,red,1,3,19,1,8,atypical,f,
blue,green,1,4,20,9,8,atypical,f,
blue,red,1,5,21,1,8,atypical,f,
yellow,red,1,6,22,3,8,atypical,k,
yellow,green,1,7,23,11,8,atypical,k,
yellow,green,1,8,24,11,8,atypical,k,
yellow,yellow,1,9,25,15,8,atypical,k,
green,yellow,1,10,26,14,8,atypical,j,
yellow,red,1,11,27,3,8,atypical,k,
yellow,blue,1,12,28,7,8,atypical,k,
green,red,1,13,29,2,8,atypical,j,
red,yellow,1,14,30,12,8,atypical,d,
red,blue,1,15,31,4,8,atypical,d,
green,blue,2,0,32,6,8,atypical,j,
green,green,2,1,33,10,8,atypical,j,
red,blue,2,2,34,4,8,atypical,d,
green,green,2,3,35,10,8,atypical,j,
yellow,red,2,4,36,3,8,atypical,k,
red,blue,2,5,37,4,8,atypical,d,
green,blue,2,6,38,6,8,atypical,j,
blue,blue,2,7,39,5,8,atypical,f,
yellow,yellow,2,8,40,15,8,atypical,k,
green,red,2,9,41,2,8,atypical,j,
green,yellow,2,10,42,14,8,atypical,j,
red,green,2,11,43,8,8,atypical,d,
red,red,2,12,44,0,8,atypical,d,
blue,green,2,13,45,9,8,atypical,f,
red,red,2,14,46,0,8,atypical,d,
red,red,2,15,47,0,8,atypical,d,
green,red,3,0,48,2,8,atypical,j,
green,yellow,3,1,49,14,8,atypical,j,
blue,yellow,3,2,50,13,8,atypical,f,
green,red,3,3,51,2,8,atypical,j,
blue,green,3,4,52,9,8,atypical,f,
red,green,3,5,53,8,8,atypical,d,
red,yellow,3,6,54,12,8,atypical,d,
blue,blue,3,7,55,5,8,atypical,f,
red,blue,3,8,56,4,8,atypical,d,
blue,green,3,9,57,9,8,atypical,f,
green,blue,3,10,58,6,8,atypical,j,
blue,yellow,3,11,59,13,8,atypical,f,
green,green,3,12,60,10,8,atypical,j,
blue,red,3,13,61,1,8,atypical,f,
green,green,3,14,62,10,8,atypical,j,
green,red,3,15,63,2,8,atypical,j,
red,yellow,4,0,64,12,8,atypical,d,
blue,blue,4,1,65,5,8,atypical,f,
blue,yellow,4,2,66,13,8,atypical,f,
red,green,4,3,67,8,8,atypical,d,
blue,red,4,4,68,1,8,atypical,f,
red,blue,4,5,69,4,8,atypical,d,
yellow,blue,4,6,70,7,8,atypical,k,
